year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2014	11420	1	26172	A&M-Corpus Chris	-	TEAM	-	-	-	 	 	0.00	 	156	 	1	 	1	 	 	0	""	1.00	1.000	 	 	 	 	 	 	 	 
2014	11420	1	26172	A&M-Corpus Chris	-	Totals	-	-	-	14	9.00	37.00	152	156	 	15	 	 	 	1599:46	45	2.532	131.00	0.744	1	 	 	 	36	 	1	2
2014	11420	1	26172	A&M-Corpus Chris	-	Opponent Totals	-	-	-	45	39.00	129.00	345	131	 	7	 	 	 	1599:46	14	0.788	52.00	0.788	8	 	 	 	86	1	3	16
2014	11420	1	2	Abilene Christian	-	TEAM	-	-	-	 	 	0.00	 	104	 	 	 	4	 	 	0	""	 	""	 	 	 	 	 	 	 	 
2014	11420	1	2	Abilene Christian	-	Totals	-	-	-	29	25.00	83.00	272	113	 	6	 	 	 	1744:53	17	0.877	81.00	0.827	7	 	 	 	92	 	2	13
2014	11420	1	2	Abilene Christian	-	Opponent Totals	-	-	-	17	12.00	46.00	237	128	 	10	 	 	 	1744:53	29	1.496	89.00	0.754	3	 	 	 	64	1	1	5
2014	11420	1	721	Air Force	-	TEAM	-	-	-	 	 	0.00	 	108	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	1	721	Air Force	-	Totals	-	-	-	13	11.00	37.00	161	137	 	1	 	 	 	1701:51	28	1.481	81.00	0.743	2	 	 	 	58	 	 	3
2014	11420	1	721	Air Force	-	Opponent Totals	-	-	-	28	28.00	84.00	219	161	 	3	 	 	 	1701:51	13	0.687	65.00	0.833	8	 	 	 	57	1	1	13
2014	11420	1	5	Akron	-	TEAM	-	-	-	 	 	0.00	 	122	 	 	 	2	 	 	0	""	2.00	1.000	 	 	 	 	 	 	 	 
2014	11420	1	5	Akron	-	Totals	-	-	-	21	17.00	59.00	231	122	 	6	 	 	 	1780:00	37	1.871	81.00	0.686	 	 	 	 	58	1	1	5
2014	11420	1	5	Akron	-	Opponent Totals	-	-	-	37	34.00	108.00	263	151	 	5	 	 	 	1780:00	21	1.062	80.00	0.792	7	 	 	 	72	 	 	11
2014	11420	1	8	Alabama	-	TEAM	-	-	-	 	 	0.00	 	159	 	 	 	2	 	 	0	""	2.00	1.000	 	 	 	 	 	 	 	 
2014	11420	1	8	Alabama	-	Totals	-	-	-	24	25.00	73.00	231	169	1	8	 	 	 	1649:44	39	2.128	91.00	0.700	1	 	 	1	81	3	5	6
2014	11420	1	8	Alabama	-	Opponent Totals	-	-	-	39	45.00	123.00	301	181	 	14	 	 	 	1649:44	24	1.309	72.00	0.750	7	 	 	 	96	1	1	12
2014	11420	1	6	Alabama A&M	-	TEAM	-	-	-	 	 	0.00	 	102	 	1	 	1	 	 	0	""	3.00	1.000	 	 	 	 	 	 	 	 
2014	11420	1	6	Alabama A&M	-	Totals	-	-	-	15	3.00	33.00	172	105	 	6	 	 	 	1728:46	113	5.883	176.00	0.609	 	 	 	 	13	1	1	1
