year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2011	10384	1	721	Air Force	-	TEAM	-	-	-	0	0	0	0	161	0	0	0	3	0	0:00	0	""	3	1.000	""	""	""	0	 	0	0	0
2011	10384	1	721	Air Force	-	Totals	-	-	-	21	21	63	263	161	1	7	0	7	""	1787:01	18	0.907	97	0.843	7	""	""	0	61	1	2	7
2011	10384	1	721	Air Force	-	Opponent Totals	-	-	-	18	14	50	252	154	1	5	0	7	0	""	21	""	109	0.838	8	0	0	0	121	2	4	9
2011	10384	1	5	Akron	-	TEAM	-	-	-	0	0	0	0	203	0	3	0	4	0	0:00	0	""	3	1.000	""	""	""	0	 	0	0	0
2011	10384	1	5	Akron	-	Totals	-	-	-	23	18	64	173	203	0	9	0	5	""	1757:46	32	1.638	97	0.752	4	""	""	0	50	1	1	7
2011	10384	1	5	Akron	-	Opponent Totals	-	-	-	32	32	96	266	189	1	14	0	5	0	""	23	""	75	0.765	7	0	0	1	126	2	2	11
2011	10384	1	8	Alabama	-	TEAM	-	-	-	0	0	0	0	191	0	1	0	2	0	0:00	0	""	2	1.000	""	""	""	0	 	0	0	0
2011	10384	1	8	Alabama	-	Totals	-	-	-	20	15	55	249	191	0	14	0	6	""	1685:45	24	1.281	94	0.797	6	""	""	0	79	2	4	8
2011	10384	1	8	Alabama	-	Opponent Totals	-	-	-	24	17	65	254	132	0	5	0	6	0	""	20	""	84	0.808	5	0	0	0	77	4	5	8
2011	10384	1	6	Alabama A&M	-	TEAM	-	-	-	0	0	0	0	129	1	0	0	3	0	0:00	0	""	3	1.000	""	""	""	0	 	0	0	0
2011	10384	1	6	Alabama A&M	-	Totals	-	-	-	20	10	50	169	129	3	19	0	5	""	1710:29	85	4.472	131	0.606	3	""	""	0	44	3	6	6
2011	10384	1	6	Alabama A&M	-	Opponent Totals	-	-	-	85	73	243	350	92	0	10	0	5	0	""	20	""	68	0.773	10	0	0	0	79	4	7	12
2011	10384	1	7	Alabama St.	-	TEAM	-	-	-	0	0	0	0	35	0	0	0	2	0	0:00	0	""	2	1.000	""	""	""	0	 	0	0	0
2011	10384	1	7	Alabama St.	-	Totals	-	-	-	17	6	40	138	36	0	6	0	7	""	1649:42	48	2.619	121	0.716	2	""	""	0	42	0	2	4
2011	10384	1	7	Alabama St.	-	Opponent Totals	-	-	-	48	47	143	297	43	0	1	0	7	0	""	17	""	50	0.746	9	0	0	0	57	0	0	11
2011	10384	1	14	Albany (NY)	-	TEAM	-	-	-	0	0	0	0	172	0	1	0	2	0	0:00	0	""	2	1.000	""	""	""	0	 	0	0	0
2011	10384	1	14	Albany (NY)	-	Totals	-	-	-	19	14	52	295	172	0	8	0	5	""	1840:00	26	1.272	94	0.783	9	""	""	0	39	0	0	10
2011	10384	1	14	Albany (NY)	-	Opponent Totals	-	-	-	26	22	74	266	198	0	8	0	5	0	""	19	""	111	0.854	8	0	0	0	72	1	1	8
2011	10384	1	17	Alcorn	-	TEAM	-	-	-	0	0	0	0	43	1	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2011	10384	1	17	Alcorn	-	Totals	-	-	-	6	0	12	86	43	3	4	0	3	""	1138:44	63	4.979	119	0.654	1	""	""	0	11	0	0	1
2011	10384	1	17	Alcorn	-	Opponent Totals	-	-	-	63	50	176	287	52	0	5	0	3	0	""	6	""	51	0.895	9	0	0	0	68	2	3	12
2011	10384	1	23	American	-	TEAM	-	-	-	0	0	0	0	165	0	0	0	1	0	0:00	0	""	2	1.000	""	""	""	0	 	0	0	0
2011	10384	1	23	American	-	Totals	-	-	-	15	13	43	192	175	1	7	0	7	""	1798:42	33	1.651	91	0.734	4	""	""	0	50	0	0	6
2011	10384	1	23	American	-	Opponent Totals	-	-	-	33	23	89	266	161	0	5	0	7	0	""	15	""	67	0.817	8	0	0	0	95	2	2	10
2011	10384	1	27	Appalachian St.	-	TEAM	-	-	-	0	0	0	0	180	0	0	0	2	0	0:00	0	""	2	1.000	""	""	""	0	 	0	0	0
2011	10384	1	27	Appalachian St.	-	Totals	-	-	-	11	9	31	165	180	0	7	0	6	""	1767:09	19	0.968	112	0.855	7	""	""	0	50	1	1	5
2011	10384	1	27	Appalachian St.	-	Opponent Totals	-	-	-	19	16	54	220	147	0	6	0	6	0	""	11	""	80	0.879	10	0	0	0	84	1	1	8
2011	10384	1	29	Arizona	-	TEAM	-	-	-	0	0	0	0	151	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2011	10384	1	29	Arizona	-	Totals	-	-	-	19	11	49	233	159	1	11	0	6	""	1855:21	47	2.280	109	0.699	2	""	""	0	74	0	3	5
2011	10384	1	29	Arizona	-	Opponent Totals	-	-	-	47	39	133	309	140	0	13	0	6	0	""	19	""	91	0.827	8	0	0	0	105	0	0	13
