year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2015	11720	2	30123	Academy of Art	23	1484436	Shelton, Maddie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1484436	So	17	12	 	 	0.00	1	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	20	1249224	Meneses, Sophie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1249224	Sr	17	17	 	 	0.00	7	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	2	1484458	Sutter, Marley	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1484458	Sr	17	8	 	 	0.00	4	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	14	1603748	Ramirez, Marissa	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1603748	Jr	17	17	 	 	0.00	2	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	10	1376786	Laudat, Rea	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1376786	Jr	17	17	6	1.00	13.00	41	 	 	1	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	2
2015	11720	2	30123	Academy of Art	21	1603746	Mick, Laura	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1603746	So	17	16	 	1.00	1.00	13	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	6	1249226	Fillingham, Louise	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1249226	Sr	17	16	3	1.00	7.00	28	 	 	2	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	1
2015	11720	2	30123	Academy of Art	8	1484430	Stewart, Brooke	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1484430	Jr	16	15	1	 	2.00	9	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	1	1362847	Rempe, Rachael	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1362847	Sr	16	16	 	 	0.00	 	 	 	 	 	16	16	1479:56	38	2.311	92.00	0.708	2	3	11	 	 	 	 	 
2015	11720	2	30123	Academy of Art	16	1484432	Gabriel, Natalie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1484432	Jr	16	13	1	 	2.00	20	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	15	1603749	Bozart, Kendall	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1603749	Fr	16	6	 	1.00	1.00	3	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	13	1603745	Field, Caina	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1603745	Jr	16	15	 	1.00	1.00	2	 	1	2	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	3	1603744	Halliburton, Kendall	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1603744	Fr	16	2	 	1.00	1.00	13	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	19	1603750	Morgan, Aly	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1603750	Fr	15	4	 	 	0.00	1	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	22	1603747	Pritchett, Kayla	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1603747	So	15	6	 	1.00	1.00	5	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	5	1484427	Otero Molano, Mariandrea	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1484427	So	14	6	 	 	0.00	2	 	 	1	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	9	1484429	Garner-Purkis, Esme	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1484429	Jr	14	0	 	 	0.00	 	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	11	1484431	Martig, Mikayla	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1484431	So	14	1	 	 	0.00	5	 	 	 	 	1	1	90:00	3	3.000	7.00	0.700	 	 	1	 	 	 	 	 
2015	11720	2	30123	Academy of Art	4	1603751	Haviland, Laney	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1603751	Fr	8	0	 	 	0.00	 	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	30123	Academy of Art	18	1484433	Mitsuda, Kiyomi	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1484433	So	1	0	 	 	0.00	 	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	2	929	Adams St.	28	1481066	Armijo, Dezirae	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1481066	So	18	14	2	1.00	5.00	42	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	1	1
