year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	error	exempted	team_won	score	team_score	opponent_score	overtime	overtime_periods	game_id	game_url
2015	11720	439	Monmouth	08/22/2014	@ Delaware	180	Delaware	http://stats.ncaa.org/team/index/11720?org_id=180	false		false	L 2 - 3	false	false	false	2 - 3	2	3	false		3418713	http://stats.ncaa.org/game/index/3418713?org_id=180
2015	11720	439	Monmouth	08/24/2014	American	23	American	http://stats.ncaa.org/team/index/11720?org_id=23	false		true	W 1 - 0	false	false	true	1 - 0	1	0	false		3419052	http://stats.ncaa.org/game/index/3419052?org_id=439
2015	11720	439	Monmouth	08/29/2014	Bucknell	83	Bucknell	http://stats.ncaa.org/team/index/11720?org_id=83	false		true	L 0 - 2	false	false	false	0 - 2	0	2	false		3419900	http://stats.ncaa.org/game/index/3419900?org_id=439
2015	11720	439	Monmouth	09/01/2014	@ Seton Hall	635	Seton Hall	http://stats.ncaa.org/team/index/11720?org_id=635	false		false	W 1 - 0	false	false	true	1 - 0	1	0	false		3422300	http://stats.ncaa.org/game/index/3422300?org_id=635
2015	11720	439	Monmouth	09/04/2014	@ NJIT	471	NJIT	http://stats.ncaa.org/team/index/11720?org_id=471	false		false	W 2 - 0	false	false	true	2 - 0	2	0	false		3424017	http://stats.ncaa.org/game/index/3424017?org_id=471
2015	11720	439	Monmouth	09/12/2014	@ Fairleigh Dickinson	222	Fairleigh Dickinson	http://stats.ncaa.org/team/index/11720?org_id=222	false		false	W 2 - 0	false	false	true	2 - 0	2	0	false		3431926	http://stats.ncaa.org/game/index/3431926?org_id=222
2015	11720	439	Monmouth	09/14/2014	Lafayette	342	Lafayette	http://stats.ncaa.org/team/index/11720?org_id=342	false		true	W 3 - 0	false	false	true	3 - 0	3	0	false		3434960	http://stats.ncaa.org/game/index/3434960?org_id=439
2015	11720	439	Monmouth	09/21/2014	Hofstra	283	Hofstra	http://stats.ncaa.org/team/index/11720?org_id=283	false		true	L 1 - 4	false	false	false	1 - 4	1	4	false		3442494	http://stats.ncaa.org/game/index/3442494?org_id=439
2015	11720	439	Monmouth	09/24/2014	Siena	639	Siena	http://stats.ncaa.org/team/index/11720?org_id=639	false		true	W 2 - 1	false	false	true	2 - 1	2	1	false		3445942	http://stats.ncaa.org/game/index/3445942?org_id=439
2015	11720	439	Monmouth	09/27/2014	@ Canisius	116	Canisius	http://stats.ncaa.org/team/index/11720?org_id=116	false		false	L 2 - 3	false	false	false	2 - 3	2	3	false		3448538	http://stats.ncaa.org/game/index/3448538?org_id=116
2015	11720	439	Monmouth	10/01/2014	Saint Peter's	617	Saint Peter's	http://stats.ncaa.org/team/index/11720?org_id=617	false		true	W 8 - 0	false	false	true	8 - 0	8	0	false		3454151	http://stats.ncaa.org/game/index/3454151?org_id=439
2015	11720	439	Monmouth	10/04/2014	Niagara	482	Niagara	http://stats.ncaa.org/team/index/11720?org_id=482	false		true	W 3 - 1	false	false	true	3 - 1	3	1	false		3456636	http://stats.ncaa.org/game/index/3456636?org_id=439
2015	11720	439	Monmouth	10/08/2014	@ Manhattan	381	Manhattan	http://stats.ncaa.org/team/index/11720?org_id=381	false		false	W 2 - 1 (1OT)	false	false	true	2 - 1	2	1	true	1OT	3462484	http://stats.ncaa.org/game/index/3462484?org_id=381
