year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2012	10640	3	4	Adrian	8	1259233	Karsten, Ellery	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259233	Fr	22	2	7	2	16	44	7	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	1
2012	10640	3	4	Adrian	2	931313	Irwin, Kellie	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=931313	Sr	22	22	0	1	1	0	8	0	1	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	20	1259240	Phillips, Claire	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259240	Jr	22	22	0	1	1	2	4	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	10	1030160	Cozzi, Lauren	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1030160	Jr	22	22	6	2	14	31	3	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	18	1259239	Reynolds, Becky	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259239	Fr	22	8	3	1	7	15	10	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	14	1259236	Weide, Erin	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259236	Fr	22	22	7	9	23	52	5	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	2
2012	10640	3	4	Adrian	9	1146663	Barker, Sam	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1146663	So	22	22	25	7	57	97	20	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	3	3	13
2012	10640	3	4	Adrian	15	1030161	Pomeroy, Courtney	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1030161	Jr	22	21	0	1	1	13	2	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	22	1030166	Vaassen, Patti	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1030166	Jr	21	20	3	6	12	14	2	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	1
2012	10640	3	4	Adrian	23	1030167	Caruso, Katie	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1030167	Jr	21	8	1	1	3	8	3	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	5	1146665	Smith, Haley	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1146665	So	21	13	1	0	2	15	6	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	1	1030158	Wallace, Chayna	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1030158	Jr	20	20	0	0	0	0	0	0	0	0	20	20	1658:35	20	1.085	80	0.800	3	15	5	0	 	0	0	0
2012	10640	3	4	Adrian	13	1259235	Masciovecchio, Aly	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259235	Fr	20	17	0	3	3	5	4	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	12	1030165	Greene, Sam	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1030165	Jr	19	18	0	0	0	5	5	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	3	1030168	Woolsey, Melissa	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1030168	Jr	16	2	0	0	0	0	3	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	25	1146673	Bowen, Alex	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1146673	So	15	0	2	1	5	5	5	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	26	1259244	Lizyness, Carmina	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259244	Fr	14	0	2	2	6	13	3	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	6	1146674	Chambry, Alanna	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1146674	So	12	0	1	1	3	5	2	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	00	953413	Burns, Steffeny	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=953413	Sr	8	2	0	0	0	0	0	0	0	0	7	2	321:25	2	0.560	9	0.818	1	2	""	0	 	0	0	0
2012	10640	3	4	Adrian	16	1259237	MacKenzie, Kelsey	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259237	Sr	8	1	0	0	0	2	0	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	17	1259238	Rammal, Sophie	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259238	Fr	8	0	0	1	1	2	0	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	30	1259247	Miller, Natalie	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259247	Fr	7	0	0	0	0	1	0	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	19	1146667	Kerul, Emily	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1146667	So	5	0	0	0	0	1	2	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	28	1259245	Harm, Cara	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259245	Fr	4	0	0	0	0	0	1	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	4	1146669	Way, Madison	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1146669	So	3	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	11	1259234	Bresnahan, Candice	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259234	So	2	0	0	0	0	0	1	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	24	1259243	Stempky, Cara	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259243	Fr	1	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	7	1259232	Paquette, Alaina	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259232	Fr	1	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	21	1259241	Crowell, Christine	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259241	Fr	0	0	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	 	""	""	""
2012	10640	3	4	Adrian	29	1259246	Adomatis, Ashley	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1259246	Fr	0	0	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	 	""	""	""
2012	10640	3	11324	Agnes Scott	14	1258878	Somda, Helene	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1258878	Fr	18	18	3	5	11	51	0	0	1	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	11324	Agnes Scott	18	1228885	Hernandez, Anna	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1228885	Fr	18	18	6	2	14	22	0	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	1	1	1
2012	10640	3	11324	Agnes Scott	16	1228884	Roecks, Marissa	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1228884	Jr	18	3	0	0	0	5	0	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	11324	Agnes Scott	8	1228881	Freyer, Vicky	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1228881	Fr	18	18	1	4	6	23	0	0	3	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	1
2012	10640	3	11324	Agnes Scott	7	1228880	Shaul, Maddie	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1228880	Fr	18	17	3	2	8	20	0	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	11324	Agnes Scott	11	1136852	Flynn, Kylie	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1136852	So	18	18	0	0	0	1	0	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	11324	Agnes Scott	4	1136850	Cusack, Claire	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1136850	Jr	18	18	2	1	5	10	0	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	1
2012	10640	3	11324	Agnes Scott	0	1035379	Watts, Ashley	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1035379	Jr	18	18	0	0	0	0	0	0	0	0	18	12	1677:37	41	2.200	122	0.748	4	3	7	0	 	0	0	0
2012	10640	3	11324	Agnes Scott	6	1035378	Smith, Dana	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=1035378	Jr	18	5	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	11324	Agnes Scott	23	933324	Smith, Kelly	http://stats.ncaa.org/player?game_sport_year_ctl_id=10640&stats_player_seq=933324	Sr	18	18	0	1	1	6	0	0	0	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
