year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2015	11720	3	4	Adrian	-	TEAM	-	-	-	 	 	0.00	 	57	 	1	 	3	 	 	0	""	4.00	1.000	 	 	 	 	 	 	 	 
2015	11720	3	4	Adrian	-	Totals	-	-	-	29	18.00	76.00	230	140	 	7	 	 	 	1907:33	37	1.746	119.00	0.763	1	 	 	2	60	 	1	9
2015	11720	3	4	Adrian	-	Opponent Totals	-	-	-	37	28.00	102.00	284	159	 	2	 	 	 	1907:33	29	1.368	91.00	0.758	5	 	 	 	72	1	1	8
2015	11720	3	11324	Agnes Scott	-	TEAM	-	-	-	 	 	0.00	1	96	 	 	 	1	 	 	0	""	 	""	 	 	 	 	 	 	 	 
2015	11720	3	11324	Agnes Scott	-	Totals	-	-	-	21	10.00	52.00	159	96	 	7	 	 	 	1552:01	28	1.624	120.00	0.811	6	 	 	 	46	 	 	7
2015	11720	3	11324	Agnes Scott	-	Opponent Totals	-	-	-	28	20.00	76.00	274	98	 	4	 	 	 	1552:01	19	1.102	55.00	0.743	8	 	 	 	58	1	1	10
2015	11720	3	2798	Albertus Magnus	-	TEAM	-	-	-	 	 	0.00	 	155	 	1	 	6	 	 	0	""	1.00	1.000	 	 	 	 	 	 	 	 
2015	11720	3	2798	Albertus Magnus	-	Totals	-	-	-	43	34.00	120.00	288	158	 	4	 	 	 	1834:00	22	1.080	90.00	0.804	9	 	 	 	95	1	2	11
2015	11720	3	2798	Albertus Magnus	-	Opponent Totals	-	-	-	22	17.00	61.00	199	177	 	3	 	 	 	1789:00	42	2.113	110.00	0.724	6	 	 	 	51	 	1	8
2015	11720	3	15	Albion	-	TEAM	-	-	-	 	 	0.00	 	103	 	 	 	2	 	 	0	""	2.00	1.000	 	 	 	 	 	 	 	 
2015	11720	3	15	Albion	-	Totals	-	-	-	41	21.00	103.00	228	182	 	8	 	 	 	1998:01	30	1.351	111.00	0.787	6	 	 	 	59	1	1	11
2015	11720	3	15	Albion	-	Opponent Totals	-	-	-	30	16.00	76.00	310	198	 	8	 	 	 	1998:01	41	1.847	94.00	0.696	4	 	 	 	100	 	1	6
2015	11720	3	16	Albright	-	TEAM	-	-	-	2	 	4.00	 	145	 	 	 	3	 	 	0	""	3.00	1.000	 	 	 	 	 	 	 	 
2015	11720	3	16	Albright	-	Totals	-	-	-	25	11.00	61.00	191	145	1	5	 	 	 	1652:33	37	2.015	106.00	0.741	3	 	 	 	99	2	3	7
2015	11720	3	16	Albright	-	Opponent Totals	-	-	-	37	26.00	100.00	273	125	 	5	 	 	 	1652:33	25	1.362	83.00	0.769	7	 	 	 	83	1	1	11
2015	11720	3	18	Alfred	-	TEAM	-	-	-	 	 	0.00	 	107	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	3	18	Alfred	-	Totals	-	-	-	15	8.00	38.00	99	107	 	1	 	 	 	1570:00	44	2.522	177.00	0.801	1	 	 	 	37	 	2	3
2015	11720	3	18	Alfred	-	Opponent Totals	-	-	-	44	33.00	121.00	380	131	 	3	 	 	 	1570:00	15	0.860	54.00	0.783	10	 	 	 	106	1	1	12
2015	11720	3	30170	Alfred St.	-	TEAM	-	-	-	 	 	0.00	 	89	 	 	 	1	 	 	0	""	 	""	 	 	 	 	 	 	 	 
2015	11720	3	30170	Alfred St.	-	Totals	-	-	-	52	36.00	140.00	316	92	 	 	 	 	 	1260:00	30	2.143	91.00	0.752	4	 	 	 	65	1	1	7
