year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2012	10640	3	4	Adrian	-	TEAM	-	-	-	0	0	0	0	74	0	0	0	2	0	0:00	0	""	0	""	""	""	""	0	 	0	0	0
2012	10640	3	4	Adrian	-	Totals	-	-	-	58	39	155	330	170	0	1	0	""	""	1980:00	22	1.000	89	0.802	7	""	""	0	107	3	3	17
2012	10640	3	4	Adrian	-	Opponent Totals	-	-	-	22	14	58	220	178	0	11	0	0	0	""	58	""	127	0.686	4	0	0	0	57	1	3	5
2012	10640	3	11324	Agnes Scott	-	TEAM	-	-	-	1	0	2	0	72	0	0	0	3	0	0:00	0	""	2	1.000	""	""	""	0	 	0	0	0
2012	10640	3	11324	Agnes Scott	-	Totals	-	-	-	26	16	68	194	72	1	5	0	""	""	1682:18	41	2.193	124	0.752	5	""	""	0	69	1	1	6
2012	10640	3	11324	Agnes Scott	-	Opponent Totals	-	-	-	41	32	114	343	143	0	6	0	0	0	""	26	""	73	0.737	7	0	0	0	127	0	0	10
2012	10640	3	2798	Albertus Magnus	-	TEAM	-	-	-	0	0	0	0	92	0	1	0	""	""	""	""	""	""	""	""	""	""	0	 	0	0	0
2012	10640	3	2798	Albertus Magnus	-	Totals	-	-	-	39	24	102	342	92	0	3	0	""	""	1710:00	18	0.947	83	0.822	7	""	""	0	101	1	1	12
2012	10640	3	2798	Albertus Magnus	-	Opponent Totals	-	-	-	18	12	48	177	105	0	3	0	0	0	""	39	""	149	0.793	6	0	0	0	50	0	0	7
2012	10640	3	15	Albion	-	TEAM	-	-	-	0	0	0	0	57	0	0	0	3	0	0:00	0	""	5	1.000	""	""	""	0	 	0	0	0
2012	10640	3	15	Albion	-	Totals	-	-	-	14	5	33	110	147	1	1	0	""	""	1825:47	65	3.204	158	0.709	""	""	""	0	22	0	0	0
2012	10640	3	15	Albion	-	Opponent Totals	-	-	-	65	51	181	386	160	1	3	0	0	0	""	14	""	42	0.750	9	0	0	0	138	2	2	19
2012	10640	3	16	Albright	-	TEAM	-	-	-	0	0	0	0	159	0	1	0	4	0	0:00	0	""	1	1.000	""	""	""	0	 	0	0	0
2012	10640	3	16	Albright	-	Totals	-	-	-	37	25	99	203	159	0	10	0	""	""	1809:35	24	1.194	95	0.798	8	""	""	0	126	3	3	9
