sport_code	year	division
WSO	2019	1
WSO	2019	2
WSO	2019	3
WSO	2018	1
WSO	2018	2
WSO	2018	3
WSO	2017	1
WSO	2017	2
WSO	2017	3
WSO	2016	1
WSO	2016	2
WSO	2016	3
WSO	2015	1
WSO	2015	2
WSO	2015	3
WSO	2014	1
WSO	2014	2
WSO	2014	3
WSO	2013	1
WSO	2013	2
WSO	2013	3
WSO	2012	1
WSO	2012	2
WSO	2012	3
WSO	2011	1
WSO	2011	2
WSO	2011	3
