year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2016	12242	1	6	Alabama A&M	-	TEAM	-	-	-	""	""	0.00	""	61	""	1	""	1	""	""	0	""	2.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	6	Alabama A&M	-	Totals	-	-	-	10	7.00	27.00	93	89	2	10	""	""	""	77,847	68	4.717	132.00	0.660	2	""	""	""	21	""	1	3
2016	12242	1	6	Alabama A&M	-	Opponent Totals	-	-	-	71	45.00	187.00	333	87	2	9	""	""	""	81,000	10	0.667	38.00	0.792	11	""	""	""	84	2	2	12
2016	12242	1	7	Alabama St.	-	TEAM	-	-	-	""	""	0.00	""	169	""	2	""	1	""	""	0	""	1.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	7	Alabama St.	-	Totals	-	-	-	50	38.00	138.00	264	171	2	18	""	""	""	112,339	65	3.124	144.00	0.689	8	""	""	""	47	1	1	9
2016	12242	1	7	Alabama St.	-	Opponent Totals	-	-	-	65	41.00	171.00	361	176	2	8	""	""	""	112,339	50	2.403	97.00	0.660	4	""	""	""	97	3	3	11
2016	12242	1	14	Albany (NY)	-	TEAM	-	-	-	""	""	0.00	""	211	""	""	""	2	""	""	0	""	3.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	14	Albany (NY)	-	Totals	-	-	-	33	28.00	94.00	290	211	""	6	""	""	""	116,338	27	1.253	89.00	0.767	6	""	""	""	131	""	""	11
2016	12242	1	14	Albany (NY)	-	Opponent Totals	-	-	-	27	23.00	77.00	258	163	""	6	""	""	""	116,338	33	1.532	102.00	0.756	6	""	""	""	74	""	""	9
2016	12242	1	17	Alcorn	-	TEAM	-	-	-	""	""	0.00	""	49	""	""	""	2	""	""	0	""	4.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	17	Alcorn	-	Totals	-	-	-	3	1.00	7.00	63	49	""	6	""	""	""	71,955	101	7.580	90.00	0.471	""	""	""	""	13	""	""	""
2016	12242	1	17	Alcorn	-	Opponent Totals	-	-	-	101	68.00	270.00	374	77	""	6	""	""	""	71,955	3	0.225	31.00	0.912	11	""	""	""	88	3	4	14
2016	12242	1	23	American	-	TEAM	-	-	-	""	""	0.00	""	158	""	""	""	3	""	""	0	""	3.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	23	American	-	Totals	-	-	-	15	14.00	44.00	173	158	1	7	""	""	""	108,108	35	1.748	107.00	0.754	3	""	""	""	62	""	""	5
2016	12242	1	23	American	-	Opponent Totals	-	-	-	35	30.00	100.00	303	136	""	4	""	""	""	108,108	15	0.749	70.00	0.824	7	""	""	""	127	1	2	11
2016	12242	1	27	Appalachian St.	-	TEAM	-	-	-	""	""	0.00	""	157	""	1	""	3	""	""	0	""	2.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	27	Appalachian St.	-	Totals	-	-	-	25	20.00	70.00	261	157	1	13	""	""	""	112,800	25	1.197	80.00	0.762	6	""	""	""	80	3	4	10
2016	12242	1	27	Appalachian St.	-	Opponent Totals	-	-	-	25	20.00	70.00	237	174	""	8	""	""	""	112,800	25	1.197	85.00	0.773	7	""	""	""	89	2	2	6
2016	12242	1	29	Arizona	-	TEAM	-	-	-	""	""	0.00	""	219	1	""	""	2	""	""	0	""	""	""	""	""	""	""	""	""	""	""
2016	12242	1	29	Arizona	-	Totals	-	-	-	37	35.00	109.00	327	219	1	20	""	""	""	121,330	28	1.246	84.00	0.750	9	""	""	""	92	2	2	14
2016	12242	1	29	Arizona	-	Opponent Totals	-	-	-	28	23.00	79.00	265	193	""	9	""	""	""	121,330	37	1.647	112.00	0.752	2	""	""	""	81	1	2	6
2016	12242	1	28	Arizona St.	-	TEAM	-	-	-	""	""	0.00	""	175	1	2	""	1	""	""	0	""	1.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	28	Arizona St.	-	Totals	-	-	-	34	29.00	97.00	276	175	2	13	""	""	""	99,370	19	1.033	60.00	0.759	6	""	""	""	80	2	3	9
2016	12242	1	28	Arizona St.	-	Opponent Totals	-	-	-	19	12.00	50.00	184	190	2	24	""	""	""	99,370	34	1.848	90.00	0.726	4	""	""	""	58	1	1	8
2016	12242	1	2678	Ark.-Pine Bluff	-	TEAM	-	-	-	""	""	0.00	1	87	""	""	""	1	""	""	0	""	""	""	""	""	""	""	""	""	""	""
2016	12242	1	2678	Ark.-Pine Bluff	-	Totals	-	-	-	27	15.00	69.00	201	90	""	2	""	""	""	84,986	38	2.415	104.00	0.732	5	""	""	""	39	""	1	6
2016	12242	1	2678	Ark.-Pine Bluff	-	Opponent Totals	-	-	-	39	32.00	110.00	275	91	1	4	""	""	""	84,986	26	1.652	72.00	0.735	7	""	""	""	79	3	4	10
2016	12242	1	31	Arkansas	-	TEAM	-	-	-	""	""	0.00	""	197	""	2	""	2	""	""	0	""	1.00	1.000	""	""	""	""	""	""	""	""
2016	12242	1	31	Arkansas	-	Totals	-	-	-	24	24.00	72.00	244	204	""	12	""	""	""	99,728	28	1.516	57.00	0.671	2	""	""	""	103	""	1	6
2016	12242	1	31	Arkansas	-	Opponent Totals	-	-	-	28	24.00	80.00	205	193	""	15	""	""	""	99,728	24	1.300	73.00	0.753	5	""	""	""	101	""	3	11
2016	12242	1	30	Arkansas St.	-	TEAM	-	-	-	1	""	2.00	""	132	""	1	""	1	""	""	0	""	""	""	""	""	""	""	""	""	""	""
