year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2015	11720	1	26172	A&M-Corpus Chris	32	1568753	Lugo, Bri	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1568753	Fr	15	1	2	2.00	6.00	5	2	 	1	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	1
2015	11720	1	26172	A&M-Corpus Chris	2	1568755	Poulsen, Nanna	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1568755	Fr	15	1	1	1.00	3.00	5	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	1	26172	A&M-Corpus Chris	26	1458279	Chandlee, Sara	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1458279	Sr	15	15	 	 	0.00	2	 	 	1	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	1	26172	A&M-Corpus Chris	16	1458270	Joseph, Hannah	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1458270	So	15	6	 	 	0.00	 	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	1	26172	A&M-Corpus Chris	15	1458269	Redona, Kallyn	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1458269	Jr	15	14	 	 	0.00	18	3	 	4	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	1	26172	A&M-Corpus Chris	4	1458262	Delaney, Megan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1458262	Fr	15	14	 	 	0.00	4	1	 	 	 	15	13	1408:58	20	1.278	96.00	0.828	5	3	8	 	 	 	 	 
2015	11720	1	26172	A&M-Corpus Chris	5	1568750	Cole, Zoe	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1568750	Fr	15	8	 	 	0.00	12	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	1	26172	A&M-Corpus Chris	10	1458265	Velaj, Aulona	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1458265	Sr	15	15	1	3.00	5.00	18	1	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	1	26172	A&M-Corpus Chris	11	1458266	Franco, Yvette	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1458266	So	15	14	5	 	10.00	23	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	1	1	1
2015	11720	1	26172	A&M-Corpus Chris	13	1458267	Miller, Alyssa	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1458267	Sr	15	15	3	2.00	8.00	12	2	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	1	1	 
2015	11720	1	26172	A&M-Corpus Chris	14	1458268	Biba, Emma	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1458268	So	15	15	 	 	0.00	1	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	1	26172	A&M-Corpus Chris	19	1458273	Kuhl, Audrey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1458273	So	14	1	 	 	0.00	2	2	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	1	26172	A&M-Corpus Chris	34	1568752	Love, Jacey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1568752	Fr	14	13	2	1.00	5.00	5	2	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	2
2015	11720	1	26172	A&M-Corpus Chris	18	1507764	Sutton, Hailey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1507764	So	14	11	1	2.00	4.00	11	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	1	26172	A&M-Corpus Chris	22	1458275	Chance, Becca	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1458275	So	13	0	 	1.00	1.00	2	2	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	1	26172	A&M-Corpus Chris	6	1458263	Berdan, Jessica	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1458263	Jr	12	11	 	 	0.00	 	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	1	26172	A&M-Corpus Chris	21	1458274	Olive, Mariah	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1458274	So	11	3	 	 	0.00	1	 	 	1	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11720	1	26172	A&M-Corpus Chris	28	1458281	Gonzalez, Daniela	http://stats.ncaa.org/player?game_sport_year_ctl_id=11720&stats_player_seq=1458281	So	9	8	 	 	0.00	 	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
