year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2014	11420	2	30123	Academy of Art	15	1484431	Martig, Mikayla	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1484431	Fr	18	7	1	 	2.00	8	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	13	1362854	Plater, Giovanni	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1362854	So	18	15	 	1.00	1.00	24	2	 	1	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	11	1362850	Klandt, Jule	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1362850	So	18	12	 	 	0.00	6	1	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	3	1362849	Barker, Beth	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1362849	Sr	18	16	1	3.00	5.00	26	 	 	1	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	8	1159869	Emmett, Hannah	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1159869	Sr	18	18	2	1.00	5.00	23	 	 	1	 	 	 	 	""	""	 	""	 	 	 	 	 	 	1	2
2014	11420	2	30123	Academy of Art	1	1362847	Rempe, Rachael	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1362847	Jr	17	17	 	 	0.00	 	 	 	1	 	17	17	1530:21	29	1.705	78.00	0.729	1	3	13	 	 	 	 	 
2014	11420	2	30123	Academy of Art	2	1362848	Aronzon, Hanna	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1362848	So	17	17	 	 	0.00	1	 	 	2	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	19	1484458	Sutter, Marley	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1484458	Jr	17	2	1	1.00	3.00	12	1	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	20	1249224	Meneses, Sophie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1249224	Jr	17	16	 	 	0.00	5	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	6	1249226	Fillingham, Louise	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1249226	Jr	17	17	5	 	10.00	31	1	1	1	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	1
2014	11420	2	30123	Academy of Art	5	1484427	Otero Molano, Mariandrea	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1484427	Fr	17	9	 	 	0.00	3	2	 	3	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	7	1484428	Leonhardt, Jasmin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1484428	Sr	13	10	 	 	0.00	3	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	14	1484430	Stewart, Brooke	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1484430	So	13	12	 	 	0.00	10	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	23	1484436	Shelton, Maddie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1484436	Fr	13	4	 	 	0.00	1	 	 	1	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	18	1484433	Mitsuda, Kiyomi	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1484433	Fr	13	2	 	1.00	1.00	4	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	10	1376786	Laudat, Rea	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1376786	So	13	13	2	2.00	6.00	21	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	21	1484434	Powers, Taylor	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1484434	Fr	12	5	 	 	0.00	5	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	9	1484429	Garner-Purkis, Esme	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1484429	So	10	0	 	 	0.00	3	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	22	1484435	Corneliussen, Miranda	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1484435	So	10	4	2	 	4.00	11	 	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11420	2	30123	Academy of Art	0	1362846	Vargas, Jessi	http://stats.ncaa.org/player?game_sport_year_ctl_id=11420&stats_player_seq=1362846	Fr	3	1	 	 	0.00	 	 	 	 	 	3	1	143:12	3	1.885	6.00	0.667	 	 	1	 	 	 	 	 
