BEGIN
SET
    date    | site |         team         | div | t_score |         opp          | div | o_score 
 2015-10-14 | home | Anderson (IN)        | D3  |     4.9 | Defiance             | D3  |     0.6
 2015-10-14 | home | Anderson (SC)        | D2  |     6.6 | Emmanuel (GA)        | D2  |     0.4
 2015-10-17 | home | Anderson (SC)        | D2  |     2.9 | Catawba              | D2  |     0.5
 2015-10-15 | home | Arkansas             | D1  |     1.5 | LSU                  | D1  |     1.7
 2015-10-16 | home | Arkansas St.         | D1  |     0.7 | Little Rock          | D1  |     1.5
 2015-10-16 | home | Ark.-Pine Bluff      | D1  |     1.4 | Howard               | D1  |     2.3
 2015-10-18 | home | Ashland              | D2  |     2.6 | Lake Erie            | D2  |     0.6
 2015-10-13 | home | Augsburg             | D3  |     3.0 | Concordia-M'head     | D3  |     0.7
 2015-10-16 | home | Augsburg             | D3  |     3.0 | Hamline              | D3  |     0.7
 2015-10-17 | home | Augustana (SD)       | D2  |     1.9 | Concordia-St. Paul   | D2  |     0.6
 2015-10-18 | home | Augustana (SD)       | D2  |     0.7 | Minn. St. Mankato    | D2  |     1.3
 2015-10-13 | home | Aurora               | D3  |     1.0 | Augustana (IL)       | D3  |     2.9
 2015-10-16 | home | Austin               | D3  |     0.6 | Schreiner            | D3  |     1.5
 2015-10-18 | home | Austin               | D3  |     0.3 | Trinity (TX)         | D3  |     4.0
 2015-10-18 | home | Austin Peay          | D1  |     2.9 | Morehead St.         | D1  |     1.5
 2015-10-15 | home | Azusa Pacific        | D2  |     1.5 | California Baptist   | D2  |     0.3
 2015-10-16 | home | Baldwin Wallace      | D3  |     1.9 | Wilmington (OH)      | D3  |     0.8
 2015-10-16 | home | Bard                 | D3  |     0.5 | RIT                  | D3  |     1.2
 2015-10-17 | home | Bard                 | D3  |     0.3 | William Smith        | D3  |     2.2
 2015-10-17 | home | Barton               | D2  |     0.5 | Limestone            | D2  |     1.5
 2015-10-17 | home | Bates                | D3  |     1.0 | Tufts                | D3  |     0.7
 2015-10-18 | home | Bates                | D3  |     0.9 | Amherst              | D3  |     1.2
 2015-10-16 | home | Baylor               | D1  |     0.8 | Oklahoma             | D1  |     1.0
 2015-10-18 | home | Baylor               | D1  |     1.0 | Texas Tech           | D1  |     0.8
 2015-10-12 | home | Bay Path             | D3  |     1.6 | Becker               | D3  |     4.8
 2015-10-17 | home | Becker               | D3  |     2.6 | Regis (MA)           | D3  |     1.1
 2015-10-16 | home | Bellarmine           | D2  |     1.0 | Quincy               | D2  |     0.6
 2015-10-18 | home | Bellarmine           | D2  |     0.9 | Truman               | D2  |     0.3
 2015-10-14 | home | Belmont Abbey        | D2  |     2.4 | Barton               | D2  |     0.3
 2015-10-17 | home | Beloit               | D3  |     1.8 | Illinois Col.        | D3  |     1.4
 2015-10-18 | home | Beloit               | D3  |     1.2 | Knox                 | D3  |     2.7
 2015-10-14 | home | Bentley              | D2  |     1.3 | Merrimack            | D2  |     1.3
 2015-10-17 | home | Bentley              | D2  |     1.2 | Saint Rose           | D2  |     1.3
 2015-10-13 | home | Bethany Lutheran     | D3  |     2.4 | Martin Luther        | D3  |     1.7
 2015-10-17 | home | Bethany (WV)         | D3  |     0.6 | Wash. & Jeff.        | D3  |     7.5
 2015-10-15 | home | Binghamton           | D1  |     0.6 | Stony Brook          | D1  |     1.4
 2015-10-16 | home | Birmingham-So.       | D3  |     1.3 | Centre               | D3  |     1.9
 2015-10-18 | home | Birmingham-So.       | D3  |     1.1 | Sewanee              | D3  |     1.0
 2015-10-15 | home | Blackburn            | D3  |     5.6 | Eureka               | D3  |     0.9
 2015-10-17 | home | Blackburn            | D3  |     1.0 | Westminster (MO)     | D3  |     3.2
 2015-10-17 | home | Bloomsburg           | D2  |     2.7 | Pitt.-Johnstown      | D2  |     0.5
 2015-10-16 | home | Boise St.            | D1  |     1.5 | Colorado Col.        | D1  |     0.7
 2015-10-18 | home | Boise St.            | D1  |     1.8 | Air Force            | D1  |     0.8
 2015-10-18 | home | Boston College       | D1  |     1.0 | Virginia             | D1  |     2.3
 2015-10-17 | home | Boston U.            | D1  |     1.7 | Lehigh               | D1  |     1.0
 2015-10-17 | home | Bowdoin              | D3  |     1.8 | Hamilton             | D3  |     0.9
 2015-10-16 | home | Brandeis             | D3  |     1.2 | Chicago              | D3  |     0.8
 2015-10-18 | home | Brandeis             | D3  |     0.9 | Washington-St. Louis | D3  |     1.0
 2015-10-13 | home | Brevard              | D2  |     2.0 | Erskine              | D2  |     0.5
 2015-10-16 | home | Brevard              | D2  |     0.6 | Lenoir-Rhyne         | D2  |     2.8
 2015-10-12 | home | Bridgeport           | D2  |     1.3 | Georgian Court       | D2  |     0.6
 2015-10-13 | home | Bridgeport           | D2  |     1.3 | Georgian Court       | D2  |     0.6
 2015-10-17 | home | Bridgeport           | D2  |     2.8 | NYIT                 | D2  |     0.3
 2015-10-17 | home | Bridgewater St.      | D3  |     1.9 | Fitchburg St.        | D3  |     0.3
 2015-10-17 | home | Bridgewater (VA)     | D3  |     1.1 | Roanoke              | D3  |     0.8
 2015-10-16 | home | Brockport            | D3  |     0.8 | SUNY Cortland        | D3  |     0.7
 2015-10-17 | home | Brockport            | D3  |     0.7 | Oswego St.           | D3  |     0.9
 2015-10-14 | home | Brooklyn             | D3  |     0.5 | Stevens              | D3  |     4.9
 2015-10-12 | home | Brown                | D1  |     1.1 | Marist               | D1  |     1.1
 2015-10-16 | home | Bryant               | D1  |     1.5 | Mt. St. Mary's       | D1  |     1.4
 2015-10-17 | home | Bryn Mawr            | D3  |     0.2 | Gettysburg           | D3  |     1.6
 2015-10-14 | home | Buena Vista          | D3  |     0.5 | Wartburg             | D3  |     2.9
 2015-10-16 | home | Buffalo              | D1  |     1.3 | Toledo               | D1  |     0.6
 2015-10-18 | home | Buffalo              | D1  |     0.8 | Central Mich.        | D1  |     0.5
 2015-10-16 | home | Buffalo St.          | D3  |     1.6 | SUNY Potsdam         | D3  |     0.8
 2015-10-17 | home | Buffalo St.          | D3  |     1.6 | Plattsburgh St.      | D3  |     1.1
 2015-10-17 | home | BYU                  | D1  |     2.5 | Pacific              | D1  |     0.2
 2015-10-17 | home | BYU-Hawaii           | D2  |     1.1 | Holy Names           | D2  |     0.7
 2015-10-15 | home | Cabrini              | D3  |     2.7 | Keystone             | D3  |     1.1
 2015-10-17 | home | Cabrini              | D3  |     3.4 | Cairn                | D3  |     1.4
 2015-10-13 | home | Caldwell             | D2  |     4.1 | Bloomfield           | D2  |     0.7
 2015-10-15 | home | Caldwell             | D2  |     1.7 | NYIT                 | D2  |     0.8
 2015-10-15 | home | California           | D1  |     1.1 | Santa Clara          | D1  |     0.8
 2015-10-18 | home | California           | D1  |     2.1 | Utah                 | D1  |     0.5
 2015-10-14 | home | Cal Lutheran         | D3  |     2.4 | Redlands             | D3  |     0.9
 2015-10-17 | home | Cal Lutheran         | D3  |     2.5 | Occidental           | D3  |     1.7
 2015-10-14 | home | Cal Poly Pomona      | D2  |     1.6 | Cal St. San B'dino   | D2  |     0.7
 2015-10-16 | home | Cal Poly Pomona      | D2  |     1.8 | Chico St.            | D2  |     1.0
 2015-10-16 | home | Cal St. Monterey Bay | D2  |     1.6 | Cal St. Dom. Hills   | D2  |     0.9
 2015-10-18 | home | Cal St. Monterey Bay | D2  |     0.7 | Cal St. L.A.         | D2  |     0.9
 2015-10-18 | home | Cal St. San B'dino   | D2  |     1.1 | Chico St.            | D2  |     1.1
 2015-10-17 | home | Cal St. Stanislaus   | D2  |     3.9 | UC Santa Cruz        | D3  |     0.6
 2015-10-13 | home | Calvin               | D3  |     2.0 | Albion               | D3  |     0.7
 2015-10-14 | home | Campbell             | D1  |     1.4 | Coastal Caro.        | D1  |     1.5
 2015-10-17 | home | Canisius             | D1  |     0.9 | Quinnipiac           | D1  |     1.9
 2015-10-17 | home | Carleton             | D3  |     1.0 | Macalester           | D3  |     0.8
 2015-10-16 | home | Carnegie Mellon      | D3  |     1.3 | Rochester (NY)       | D3  |     0.6
 2015-10-18 | home | Carnegie Mellon      | D3  |     1.4 | Emory                | D3  |     0.8
 2015-10-17 | home | Carroll (WI)         | D3  |     1.7 | Knox                 | D3  |     1.1
 2015-10-18 | home | Carroll (WI)         | D3  |     3.5 | Monmouth (IL)        | D3  |     0.6
 2015-10-17 | home | Carson-Newman        | D2  |     1.3 | Wingate              | D2  |     1.4
 2015-10-17 | home | Carthage             | D3  |     0.9 | Augustana (IL)       | D3  |     3.8
 2015-10-16 | home | Case                 | D3  |     0.7 | Emory                | D3  |     0.7
 2015-10-18 | home | Case                 | D3  |     0.6 | Rochester (NY)       | D3  |     0.6
 2015-10-15 | home | Castleton            | D3  |     1.6 | Middlebury           | D3  |     2.5
 2015-10-14 | home | Catholic             | D3  |     2.5 | Goucher              | D3  |     0.8
 2015-10-17 | home | Cazenovia            | D3  |     3.4 | Gallaudet            | D3  |     1.0
 2015-10-18 | home | Cazenovia            | D3  |     2.4 | Wilson               | D3  |     0.7
 2015-10-12 | home | Cedar Crest          | D3  |     3.3 | Sweet Briar          | D3  |     1.2
 2015-10-13 | home | Cedar Crest          | D3  |     3.3 | Sweet Briar          | D3  |     1.2
 2015-10-16 | home | Centenary (LA)       | D3  |     0.2 | Trinity (TX)         | D3  |     7.3
 2015-10-18 | home | Centenary (LA)       | D3  |     0.5 | Schreiner            | D3  |     2.8
 2015-10-13 | home | Centenary (NJ)       | D3  |     2.4 | Immaculata           | D3  |     0.7
 2015-10-17 | home | Centenary (NJ)       | D3  |     1.4 | Notre Dame (MD)      | D3  |     0.8
 2015-10-16 | home | Central Ark.         | D1  |     1.5 | Houston Baptist      | D1  |     0.8
 2015-10-18 | home | Central Ark.         | D1  |     2.1 | A&M-Corpus Christi   | D1  |     0.6
 2015-10-14 | home | Central (IA)         | D3  |     2.5 | Simpson              | D3  |     0.5
 2015-10-17 | home | Central (IA)         | D3  |     1.1 | Wartburg             | D3  |     1.2
 2015-10-16 | home | Central Mo.          | D2  |     3.4 | Central Okla.        | D2  |     0.6
 2015-10-18 | home | Central Mo.          | D2  |     2.3 | Northeastern St.     | D2  |     1.0
 2015-10-15 | home | Central Wash.        | D2  |     0.8 | Western Wash.        | D2  |     1.5
 2015-10-17 | home | Chaminade            | D2  |     0.7 | Hawaii Pacific       | D2  |     1.1
 2015-10-12 | home | Chapman              | D3  |     1.5 | UC Santa Cruz        | D3  |     1.2
 2015-10-14 | home | Chapman              | D3  |     1.2 | Occidental           | D3  |     1.8
 2015-10-14 | home | Charleston So.       | D1  |     1.1 | Winthrop             | D1  |     0.6
 2015-10-17 | home | Charleston So.       | D1  |     0.6 | Longwood             | D1  |     0.9
 2015-10-14 | home | Charleston (WV)      | D2  |     1.9 | Urbana               | D2  |     0.5
 2015-10-18 | home | Charleston (WV)      | D2  |     1.3 | West Liberty         | D2  |     0.5
 2015-10-18 | home | Charlotte            | D1  |     2.1 | Western Ky.          | D1  |     1.3
 2015-10-17 | home | Chatham              | D3  |     5.1 | Thiel                | D3  |     0.8
 2015-10-17 | home | Chestnut Hill        | D2  |     0.8 | Caldwell             | D2  |     1.9
 2015-10-18 | home | Chris. Newport       | D3  |     0.6 | Lynchburg            | D3  |     1.3
 2015-10-16 | home | Cincinnati           | D1  |     1.2 | East Carolina        | D1  |     0.5
 2015-10-18 | home | Cincinnati           | D1  |     1.7 | Evansville           | D1  |     0.4
 2015-10-18 | home | Clarion              | D2  |     1.0 | Shippensburg         | D2  |     1.3
 2015-10-17 | home | Clark (MA)           | D3  |     0.4 | Babson               | D3  |     2.5
 2015-10-14 | home | Clayton St.          | D2  |     1.0 | North Georgia        | D2  |     1.7
 2015-10-17 | home | Clayton St.          | D2  |     1.4 | Columbus St.         | D2  |     1.6
 2015-10-16 | home | Clemson              | D1  |     1.7 | Pittsburgh           | D1  |     0.7
 2015-10-17 | home | Coastal Caro.        | D1  |     2.7 | UNC Asheville        | D1  |     0.8
 2015-10-14 | home | Coker                | D2  |     4.2 | Chowan               | D2  |     0.7
 2015-10-17 | home | Coker                | D2  |     1.3 | Lincoln Memorial     | D2  |     1.8
 2015-10-13 | home | Colby                | D3  |     2.2 | Husson               | D3  |     1.5
 2015-10-17 | home | Colby                | D3  |     0.7 | Amherst              | D3  |     2.5
 2015-10-14 | home | Colby-Sawyer         | D3  |     1.4 | UMass Boston         | D3  |     0.6
 2015-10-17 | home | Colby-Sawyer         | D3  |     4.7 | Green Mountain       | D3  |     0.2
 2015-10-16 | home | Col. of Charleston   | D1  |     0.9 | Towson               | D1  |     0.7
 2015-10-18 | home | Col. of Charleston   | D1  |     0.8 | James Madison        | D1  |     1.2
 2015-10-16 | home | Colorado St.-Pueblo  | D2  |     0.6 | Colorado Mines       | D2  |     1.1
 2015-10-18 | home | Colorado St.-Pueblo  | D2  |     1.3 | Colo. Christian      | D2  |     0.5
 2015-10-15 | home | Concord              | D2  |     1.6 | Wheeling Jesuit      | D2  |     0.7
 2015-10-14 | home | Concordia Chicago    | D3  |     1.3 | Ripon                | D3  |     1.4
 2015-10-17 | home | Concordia-M'head     | D3  |     1.0 | Saint Benedict       | D3  |     2.0
 2015-10-15 | home | Concordia (TX)       | D3  |     2.5 | Sul Ross St.         | D3  |     0.8
 2015-10-17 | home | Concordia Wisconsin  | D3  |     1.6 | Dominican (IL)       | D3  |     0.8
 2015-10-17 | home | Converse             | D2  |     3.4 | Emmanuel (GA)        | D2  |     0.8
 2015-10-12 | home | Cornell              | D1  |     0.9 | Colgate              | D1  |     0.4
 2015-10-17 | home | Creighton            | D1  |     1.4 | Providence           | D1  |     1.3
 2015-10-13 | home | Crown (MN)           | D3  |     1.6 | North Central (MN)   | D3  |     3.6
 2015-10-14 | home | Curry                | D3  |     3.3 | Suffolk              | D3  |     0.6
 2015-10-13 | home | Daemen               | D2  |     1.4 | Alfred St.           | D3  |     0.4
 2015-10-16 | home | Dallas               | D3  |     0.6 | Texas Lutheran       | D3  |     1.4
 2015-10-18 | home | Dallas               | D3  |     1.0 | Southwestern (TX)    | D3  |     1.1
 2015-10-15 | home | Daniel Webster       | D3  |     1.8 | Green Mountain       | D3  |     1.1
 2015-10-17 | home | Daniel Webster       | D3  |     2.4 | Bay Path             | D3  |     2.2
 2015-10-18 | home | Davidson             | D1  |     1.4 | George Mason         | D1  |     1.3
 2015-10-18 | home | Dayton               | D1  |     1.5 | Fordham              | D1  |     1.2
 2015-10-17 | home | Defiance             | D3  |     0.5 | Transylvania         | D3  |     3.5
 2015-10-16 | home | Delaware             | D1  |     1.1 | Elon                 | D1  |     1.2
 2015-10-18 | home | Delaware             | D1  |     0.8 | William & Mary       | D1  |     1.9
 2015-10-13 | home | Delaware Valley      | D3  |     1.4 | Eastern              | D3  |     2.2
 2015-10-16 | home | Delta St.            | D2  |     0.7 | Lee                  | D2  |     2.7
 2015-10-18 | home | Delta St.            | D2  |     1.2 | Shorter              | D2  |     1.8
 2015-10-13 | home | Denison              | D3  |     1.3 | Wooster              | D3  |     0.5
 2015-10-18 | home | DePaul               | D1  |     1.1 | St. John's (NY)      | D1  |     0.7
 2015-10-13 | home | DePauw               | D3  |     3.3 | Ohio Wesleyan        | D3  |     0.8
 2015-10-14 | home | Dickinson            | D3  |     0.6 | Gettysburg           | D3  |     1.0
 2015-10-14 | home | Dominican (IL)       | D3  |     5.4 | Wis. Lutheran        | D3  |     0.3
