BEGIN
SET
    date    |  site   |         team         | div | t_score |         opp          | div | o_score 
------------+---------+----------------------+-----+---------+----------------------+-----+---------
 2015-10-23 | home    | Abilene Christian    | D1  |     1.6 | Stephen F. Austin    | D1  |     1.1
 2015-10-25 | home    | Abilene Christian    | D1  |     1.4 | Sam Houston St.      | D1  |     0.8
 2015-10-30 | home    | Abilene Christian    | D1  |     3.3 | Incarnate Word       | D1  |     0.6
 2015-10-22 | home    | Academy of Art       | D2  |     0.4 | Point Loma           | D2  |     1.3
 2015-10-24 | home    | Academy of Art       | D2  |     0.3 | Azusa Pacific        | D2  |     1.7
 2015-11-07 | home    | Academy of Art       | D2  |     0.7 | California Baptist   | D2  |     1.0
 2015-10-23 | home    | Adams St.            | D2  |     0.6 | Metro St.            | D2  |     1.1
 2015-10-25 | home    | Adams St.            | D2  |     0.8 | Regis (CO)           | D2  |     1.6
 2015-10-31 | home    | Adelphi              | D2  |     1.2 | Southern N.H.        | D2  |     0.6
 2015-11-02 | home    | Adrian               | D3  |     0.4 | Albion               | D3  |     0.8
 2015-10-31 | home    | Agnes Scott          | D3  |     2.7 | Wesleyan (GA)        | D3  |     0.6
 2015-10-23 | home    | Air Force            | D1  |     0.6 | San Diego St.        | D1  |     2.5
 2015-10-25 | home    | Air Force            | D1  |     0.9 | New Mexico           | D1  |     1.4
 2015-10-30 | home    | Air Force            | D1  |     1.1 | Colorado Col.        | D1  |     1.1
 2015-10-29 | home    | Akron                | D1  |     0.7 | Buffalo              | D1  |     1.6
 2015-10-23 | home    | Alabama              | D1  |     0.6 | Missouri             | D1  |     1.1
 2015-10-25 | home    | Alabama              | D1  |     0.8 | Mississippi St.      | D1  |     0.8
 2015-10-23 | home    | Alabama A&M          | D1  |     1.0 | Prairie View         | D1  |     4.3
 2015-10-25 | home    | Alabama A&M          | D1  |     0.9 | Texas Southern       | D1  |     3.1
 2015-10-30 | home    | Alabama A&M          | D1  |     1.4 | Alabama St.          | D1  |     4.2
 2015-10-23 | home    | Alabama St.          | D1  |     2.5 | Texas Southern       | D1  |     2.1
 2015-10-25 | home    | Alabama St.          | D1  |     2.5 | Prairie View         | D1  |     2.8
 2015-10-25 | home    | Ala.-Huntsville      | D2  |     1.4 | Valdosta St.         | D2  |     1.1
 2015-10-22 | home    | Albany (NY)          | D1  |     3.1 | UMass Lowell         | D1  |     1.0
 2015-10-25 | home    | Albany (NY)          | D1  |     1.6 | Maine                | D1  |     0.8
 2015-10-22 | home    | Albertus Magnus      | D3  |     3.6 | Suffolk              | D3  |     0.7
 2015-10-24 | home    | Albertus Magnus      | D3  |     1.6 | Johnson & Wales (RI) | D3  |     1.1
 2015-10-28 | home    | Albertus Magnus      | D3  |     7.1 | CCNY                 | D3  |     0.3
 2015-10-21 | home    | Albion               | D3  |     2.4 | Trine                | D3  |     0.4
 2015-10-27 | home    | Albion               | D3  |     1.5 | Olivet               | D3  |     1.0
 2015-10-24 | home    | Albright             | D3  |     0.3 | Messiah              | D3  |     3.4
 2015-10-30 | home    | Alcorn               | D1  |     0.5 | Mississippi Val.     | D1  |    10.4
 2015-10-27 | home    | Alderson Broaddus    | D2  |     0.8 | Davis & Elkins       | D2  |     1.9
 2015-10-28 | home    | Alfred               | D3  |     0.6 | King's (PA)          | D3  |     2.0
 2015-10-22 | home    | Alfred St.           | D3  |     0.3 | Houghton             | D3  |     1.8
 2015-10-24 | home    | Alfred St.           | D3  |     1.1 | Cazenovia            | D3  |     0.9
 2015-10-21 | home    | Allegheny            | D3  |     1.3 | Hiram                | D3  |     1.0
 2015-10-24 | home    | Allegheny            | D3  |     0.4 | Kenyon               | D3  |     1.1
 2015-10-31 | home    | Allegheny            | D3  |     0.6 | DePauw               | D3  |     1.4
 2015-10-21 | home    | Alma                 | D3  |     2.4 | Kalamazoo            | D3  |     1.8
 2015-10-27 | home    | Alma                 | D3  |     1.3 | Calvin               | D3  |     2.4
 2015-10-31 | home    | Alma                 | D3  |     3.5 | Trine                | D3  |     0.8
 2015-10-24 | home    | Alvernia             | D3  |     0.9 | Stevenson            | D3  |     1.9
 2015-10-21 | home    | Alverno              | D3  |     0.4 | Benedictine (IL)     | D3  |     8.8
 2015-10-24 | home    | Alverno              | D3  |     1.5 | Rockford             | D3  |     2.1
 2015-10-23 | home    | A&M-Corpus Christi   | D1  |     1.8 | Lamar                | D1  |     1.8
 2015-10-25 | home    | A&M-Corpus Christi   | D1  |     0.9 | McNeese St.          | D1  |     1.6
 2015-10-21 | home    | American             | D1  |     1.0 | Navy                 | D1  |     2.2
 2015-10-30 | home    | American             | D1  |     0.8 | Lehigh               | D1  |     1.6
 2015-10-23 | home    | American Int'l       | D2  |     0.8 | Adelphi              | D2  |     1.1
 2015-10-28 | home    | American Int'l       | D2  |     1.4 | Bentley              | D2  |     0.7
 2015-10-24 | home    | Amherst              | D3  |     1.8 | Wesleyan (CT)        | D3  |     0.6
 2015-10-28 | home    | Anderson (IN)        | D3  |     0.8 | Rose-Hulman          | D3  |     0.8
 2015-10-31 | home    | Anderson (IN)        | D3  |     0.9 | Transylvania         | D3  |     1.3
 2015-10-24 | home    | Anderson (SC)        | D2  |     3.3 | Lincoln Memorial     | D2  |     0.7
 2015-10-23 | home    | Angelo St.           | D2  |     1.6 | Midwestern St.       | D2  |     0.6
 2015-10-30 | home    | Angelo St.           | D2  |     2.2 | Texas Woman's        | D2  |     0.5
 2015-11-01 | home    | Angelo St.           | D2  |     1.4 | Tex. A&M-Commerce    | D2  |     0.6
 2015-10-24 | home    | Anna Maria           | D3  |     0.7 | Simmons              | D3  |     3.1
 2015-10-27 | home    | Anna Maria           | D3  |     2.0 | Norwich              | D3  |     1.6
 2015-10-23 | home    | Appalachian St.      | D1  |     2.0 | Ga. Southern         | D1  |     1.3
 2015-10-25 | home    | Appalachian St.      | D1  |     1.7 | Georgia St.          | D1  |     1.0
 2015-10-25 | home    | Arcadia              | D3  |     1.6 | Widener              | D3  |     0.4
 2015-10-27 | home    | Arcadia              | D3  |     1.8 | Albright             | D3  |     0.7
 2015-10-23 | home    | Arizona              | D1  |     1.9 | Oregon               | D1  |     0.4
 2015-10-25 | home    | Arizona              | D1  |     1.3 | Oregon St.           | D1  |     0.6
 2015-11-06 | home    | Arizona              | D1  |     1.7 | Arizona St.          | D1  |     1.2
 2015-10-23 | home    | Arizona St.          | D1  |     1.3 | Oregon St.           | D1  |     0.7
 2015-10-25 | home    | Arizona St.          | D1  |     1.9 | Oregon               | D1  |     0.5
 2015-10-29 | home    | Arkansas             | D1  |     1.6 | Alabama              | D1  |     0.6
 2015-10-23 | home    | Ark.-Pine Bluff      | D1  |     2.7 | Southern U.          | D1  |     0.6
 2015-10-25 | home    | Ark.-Pine Bluff      | D1  |     1.3 | Jackson St.          | D1  |     1.7
 2015-10-24 | home    | Armstrong            | D2  |     9.1 | Ga. Southwestern     | D2  |     0.2
 2015-10-28 | home    | Armstrong            | D2  |     2.1 | Flagler              | D2  |     0.7
 2015-10-31 | home    | Armstrong            | D2  |     2.8 | Lander               | D2  |     0.7
 2015-10-21 | home    | Army West Point      | D1  |     1.0 | Colgate              | D1  |     1.2
 2015-10-24 | home    | Army West Point      | D1  |     0.7 | Boston U.            | D1  |     1.9
 2015-10-25 | home    | Ashland              | D2  |     2.9 | Malone               | D2  |     1.0
 2015-10-24 | home    | Assumption           | D2  |     3.1 | Le Moyne             | D2  |     1.4
 2015-10-28 | home    | Assumption           | D2  |     1.2 | Adelphi              | D2  |     2.4
 2015-10-23 | home    | Auburn               | D1  |     1.3 | Kentucky             | D1  |     0.9
 2015-10-25 | home    | Auburn               | D1  |     2.0 | Georgia              | D1  |     0.6
 2015-10-31 | home    | Augsburg             | D3  |     1.9 | St. Thomas (MN)      | D3  |     1.0
 2015-10-28 | home    | Augustana (IL)       | D3  |     1.6 | Wheaton (IL)         | D3  |     1.1
 2015-10-31 | home    | Augustana (IL)       | D3  |     3.9 | Millikin             | D3  |     0.4
 2015-10-30 | home    | Augustana (SD)       | D2  |     1.6 | Southwest Minn. St.  | D2  |     0.5
 2015-10-28 | home    | Aurora               | D3  |    14.3 | Alverno              | D3  |     0.2
 2015-10-25 | home    | Austin               | D3  |     1.4 | Dallas               | D3  |     1.2
 2015-10-30 | home    | Austin               | D3  |     2.7 | Centenary (LA)       | D3  |     1.1
 2015-10-23 | home    | Austin Peay          | D1  |     2.9 | Eastern Ill.         | D1  |     0.8
 2015-10-25 | home    | Austin Peay          | D1  |     0.9 | SIUE                 | D1  |     0.8
 2015-10-23 | home    | Averett              | D3  |     0.6 | Covenant             | D3  |     1.5
 2015-10-24 | home    | Averett              | D3  |     0.6 | Maryville (TN)       | D3  |     2.9
 2015-10-29 | home    | Azusa Pacific        | D2  |     1.5 | BYU-Hawaii           | D2  |     0.2
 2015-10-31 | home    | Azusa Pacific        | D2  |     1.9 | Hawaii Hilo          | D2  |     0.2
 2015-10-20 | home    | Babson               | D3  |     2.3 | Emerson              | D3  |     0.6
 2015-10-27 | home    | Baldwin Wallace      | D3  |     1.0 | Ohio Northern        | D3  |     0.9
 2015-10-30 | home    | Baldwin Wallace      | D3  |     1.7 | Capital              | D3  |     1.0
 2015-10-23 | home    | Ball St.             | D1  |     3.1 | Akron                | D1  |     0.6
 2015-10-25 | home    | Ball St.             | D1  |     1.3 | Buffalo              | D1  |     0.7
 2015-10-28 | home    | Bard                 | D3  |     0.7 | Vassar               | D3  |     1.3
 2015-10-21 | home    | Barry                | D2  |     2.5 | Nova Southeastern    | D2  |     0.8
