BEGIN
 year | div | div | won  | lost | tied | count 
------+-----+-----+------+------+------+-------
 2012 |   1 |   1 | 2821 | 2821 |  660 |  6302
 2012 |   1 |   2 |   16 |    6 |    3 |    25
 2012 |   1 |   3 |    4 |    0 |    0 |     4
 2012 |   2 |   2 | 1888 | 1888 |  354 |  4130
 2012 |   2 |   3 |   24 |   11 |    3 |    38
 2012 |   3 |   3 | 3457 | 3457 |  528 |  7442
 2013 |   1 |   1 | 2833 | 2833 |  636 |  6302
 2013 |   1 |   2 |   13 |    2 |    4 |    19
 2013 |   1 |   3 |    7 |    2 |    0 |     9
 2013 |   2 |   2 | 1961 | 1961 |  438 |  4360
 2013 |   2 |   3 |   19 |   12 |    1 |    32
 2013 |   3 |   3 | 3523 | 3523 |  626 |  7672
 2014 |   1 |   1 | 2822 | 2822 |  730 |  6374
 2014 |   1 |   2 |   21 |    5 |    0 |    26
 2014 |   1 |   3 |    3 |    0 |    0 |     3
 2014 |   2 |   2 | 1997 | 1997 |  458 |  4452
 2014 |   2 |   3 |   17 |    6 |    1 |    24
 2014 |   3 |   3 | 3587 | 3587 |  588 |  7762
 2015 |   1 |   1 | 2882 | 2882 |  714 |  6478
 2015 |   1 |   2 |   18 |    0 |    2 |    20
 2015 |   1 |   3 |    5 |    0 |    0 |     5
 2015 |   2 |   2 | 2021 | 2021 |  440 |  4482
 2015 |   2 |   3 |   17 |    3 |    2 |    22
 2015 |   3 |   3 | 3631 | 3631 |  628 |  7890
 2016 |   1 |   1 | 2840 | 2840 |  660 |  6340
 2016 |   1 |   2 |   12 |    3 |    2 |    17
 2016 |   1 |   3 |    1 |    1 |    1 |     3
 2016 |   2 |   2 | 1991 | 1991 |  428 |  4410
 2016 |   2 |   3 |   15 |    4 |    2 |    21
 2016 |   3 |   3 | 3503 | 3503 |  598 |  7604
(30 rows)

COMMIT
