date,site,team,div,t_score,opp,div,o_score
2015-10-02,home,Abilene Christian,D1,1.2,Northwestern St.,D1,1.2
2015-10-04,home,Abilene Christian,D1,1.3,Central Ark.,D1,1.4
2015-10-02,home,Adams St.,D2,0.7,UC-Colo. Springs,D2,0.8
2015-10-04,home,Adams St.,D2,0.7,Western St.,D2,0.8
2015-10-03,home,Adelphi,D2,2.5,Bentley,D2,0.9
2015-10-07,home,Adrian,D3,0.5,Olivet,D3,0.5
2015-10-02,home,Air Force,D1,0.9,Wyoming,D1,1.2
2015-10-04,home,Air Force,D1,1.5,Colorado St.,D1,1.1
2015-10-01,home,Alabama,D1,0.5,Auburn,D1,1.3
2015-10-02,home,Ala.-Huntsville,D2,1.7,Christian Bros.,D2,2.2
2015-10-04,home,Ala.-Huntsville,D2,2.4,Union (TN),D2,1.1
2015-10-01,home,Albany (NY),D1,2.9,Binghamton,D1,0.5
2015-10-03,home,Albertus Magnus,D3,2.1,St. Joseph's (ME),D3,1.1
2015-10-07,home,Albertus Magnus,D3,3.0,Mount Ida,D3,0.7
2015-10-03,home,Albion,D3,0.7,Adrian,D3,0.3
2015-10-07,home,Albion,D3,2.4,St. Mary's (IN),D3,0.5
2015-10-07,home,Albright,D3,1.2,Widener,D3,0.9
2015-10-04,home,Alderson Broaddus,D2,1.5,Fairmont St.,D2,0.6
2015-10-06,home,Alfred,D3,0.3,Nazareth,D3,3.9
2015-10-06,home,Allegheny,D3,0.5,Buffalo St.,D3,1.9
2015-10-03,home,Alma,D3,3.0,St. Mary's (IN),D3,1.0
2015-10-07,home,Alvernia,D3,0.9,Arcadia,D3,3.0
2015-10-03,home,Alverno,D3,0.4,MSOE,D3,5.5
2015-10-02,home,A&M-Corpus Christi,D1,1.6,Nicholls St.,D1,1.4
2015-10-04,home,A&M-Corpus Christi,D1,0.6,Southeastern La.,D1,3.0
2015-10-04,home,American,D1,0.9,Lafayette,D1,1.1
2015-10-03,home,American Int'l,D2,1.4,Merrimack,D2,1.1
2015-10-06,home,American Int'l,D2,2.4,Saint Michael's,D2,0.7
2015-10-03,home,Amherst,D3,1.7,Tufts,D3,0.5
2015-10-04,home,Amherst,D3,1.6,Connecticut Col.,D3,0.5
2015-10-03,home,Anderson (IN),D3,3.4,Earlham,D3,1.2
2015-10-03,home,Anderson (SC),D2,2.7,Carson-Newman,D2,1.3
2015-10-07,home,Anderson (SC),D2,3.3,Newberry,D2,0.8
2015-10-02,home,Angelo St.,D2,3.3,West Tex. A&M,D2,0.9
2015-10-04,home,Angelo St.,D2,3.3,Eastern N.M.,D2,0.6
2015-10-03,home,Anna Maria,D3,2.1,Suffolk,D3,2.6
2015-10-04,home,Appalachian St.,D1,1.1,Texas St.,D1,1.2
2015-10-03,home,Arcadia,D3,1.6,Stevenson,D3,0.7
2015-10-02,home,Arizona,D1,1.0,California,D1,1.0
2015-10-04,home,Arizona,D1,1.1,Stanford,D1,0.8
2015-10-02,home,Arizona St.,D1,1.3,Stanford,D1,1.3
2015-10-04,home,Arizona St.,D1,1.2,California,D1,1.7
2015-10-02,home,Arkansas,D1,1.2,South Carolina,D1,2.0
2015-10-02,home,Arkansas St.,D1,1.0,Georgia St.,D1,1.5
2015-10-04,home,Arkansas St.,D1,1.6,Ga. Southern,D1,2.0
2015-10-02,home,Ark.-Pine Bluff,D1,4.5,Alabama A&M,D1,1.2
2015-10-04,home,Ark.-Pine Bluff,D1,3.3,Alabama St.,D1,2.9
2015-10-07,home,Armstrong,D2,1.8,Clayton St.,D2,1.1
2015-10-03,home,Army West Point,D1,0.8,Lehigh,D1,1.6
2015-10-03,home,Assumption,D2,1.9,Franklin Pierce,D2,2.0
2015-10-03,home,Augsburg,D3,7.4,Bethel (MN),D3,0.6
2015-10-05,home,Augsburg,D3,3.6,St. Scholastica,D3,0.5
2015-10-06,home,Augustana (IL),D3,2.8,Wartburg,D3,1.2
2015-10-03,home,Augustana (SD),D2,1.4,Bemidji St.,D2,0.5
2015-10-04,home,Augustana (SD),D2,2.0,Minn.-Crookston,D2,0.4
2015-10-07,home,Aurora,D3,2.2,MSOE,D3,1.2
2015-10-02,home,Austin Peay,D1,2.1,Southeast Mo. St.,D1,1.6
2015-10-04,home,Austin Peay,D1,3.1,UT Martin,D1,1.7
2015-10-06,home,Babson,D3,1.1,Wellesley,D3,0.8
2015-10-03,home,Baldwin Wallace,D3,5.8,Muskingum,D3,0.5
2015-10-07,home,Baldwin Wallace,D3,2.2,Heidelberg,D3,0.4
2015-10-07,home,Barry,D2,3.2,Eckerd,D2,0.5
2015-10-03,home,Bates,D3,1.0,Trinity (CT),D3,1.4
2015-10-07,home,Bates,D3,0.8,Bowdoin,D3,1.3
2015-10-04,home,Bay Path,D3,5.4,Wheelock,D3,1.4
2015-10-06,home,Bay Path,D3,1.7,Mass. Maritime,D3,2.0
2015-10-03,home,Becker,D3,1.6,Elms,D3,1.5
2015-10-02,home,Bellarmine,D2,2.1,St. Joseph's (IN),D2,0.3
2015-10-04,home,Bellarmine,D2,1.3,UIndy,D2,0.3
2015-10-02,home,Belmont,D1,1.6,Eastern Ill.,D1,0.9
2015-10-03,home,Belmont Abbey,D2,2.7,Converse,D2,0.4
2015-10-04,home,Berry,D3,2.1,Centre,D3,1.6
2015-10-03,home,Bethany Lutheran,D3,1.3,Northwestern-St.Paul,D3,1.8
2015-10-05,home,Bethany Lutheran,D3,0.8,St. Catherine,D3,2.7
2015-10-07,home,Bethany Lutheran,D3,0.7,Gust. Adolphus,D3,2.5
2015-10-03,home,Bethany (WV),D3,2.1,Waynesburg,D3,1.9
2015-10-04,home,Binghamton,D1,0.4,Hartford,D1,1.8
2015-10-03,home,Birmingham-So.,D3,1.6,Rhodes,D3,0.9
2015-10-03,home,Blackburn,D3,1.4,Greenville,D3,3.2
2015-10-07,home,Bloomsburg,D2,2.8,Mansfield,D2,1.2
2015-10-03,home,Bluffton,D3,0.8,Hanover,D3,5.8
2015-10-06,home,Bluffton,D3,3.3,Anderson (IN),D3,3.2
2015-10-03,home,Boston U.,D1,1.7,Loyola Maryland,D1,0.6
2015-10-06,home,Boston U.,D1,1.1,Harvard,D1,0.6
2015-10-01,home,Bowdoin,D3,2.7,MIT,D3,0.7
2015-10-02,home,Bowling Green,D1,1.2,Akron,D1,1.2
2015-10-04,home,Bowling Green,D1,0.6,Buffalo,D1,0.9
2015-10-03,home,Brandeis,D3,1.3,Carnegie Mellon,D3,0.9
2015-10-06,home,Brandeis,D3,3.4,Eastern Nazarene,D3,0.5
2015-10-03,home,Brevard,D2,0.6,Catawba,D2,0.7
2015-10-07,home,Brevard,D2,0.8,Tusculum,D2,1.6
2015-10-03,home,Bridgeport,D2,1.9,LIU Post,D2,0.9
2015-10-04,home,Bridgewater (VA),D3,1.6,Salisbury,D3,1.6
2015-10-02,home,Brockport,D3,0.8,SUNY Oneonta,D3,1.1
2015-10-03,home,Brockport,D3,1.6,SUNY New Paltz,D3,0.5
2015-10-05,home,Brooklyn,D3,0.4,NYU,D3,2.5
2015-10-02,home,Bryant,D1,1.3,Sacred Heart,D1,2.1
2015-10-04,home,Bryant,D1,1.3,Wagner,D1,1.2
2015-10-03,home,Bryn Mawr,D3,0.7,Frank. & Marsh.,D3,0.6
2015-10-04,home,Bucknell,D1,1.1,Colgate,D1,1.0
2015-10-01,home,Butler,D1,0.7,St. John's (NY),D1,1.2
2015-10-01,home,BYU-Hawaii,D2,1.3,Notre Dame de Namur,D2,0.7
2015-10-03,home,BYU-Hawaii,D2,1.1,Fresno Pacific,D2,1.1
2015-10-07,home,Cabrini,D3,4.1,Neumann,D3,1.0
2015-10-03,home,Cairn,D3,1.7,Lehman,D3,3.3
2015-10-02,home,California (PA),D2,1.1,East Stroudsburg,D2,0.7
2015-10-03,home,California (PA),D2,0.8,Kutztown,D2,0.6
2015-10-07,home,California (PA),D2,1.4,Indiana (PA),D2,0.6
2015-10-07,home,Cal Lutheran,D3,1.2,La Verne,D3,1.4
2015-10-02,home,Cal St. Dom. Hills,D2,0.8,UC San Diego,D2,2.2
2015-10-06,home,Cal St. Dom. Hills,D2,1.0,BYU-Hawaii,D2,1.1
2015-10-04,home,Cal St. L.A.,D2,0.6,UC San Diego,D2,0.9
2015-10-07,home,Cal St. L.A.,D2,0.6,Hawaii Hilo,D2,0.5
2015-10-02,home,Cal St. Monterey Bay,D2,1.4,Humboldt St.,D2,1.1
2015-10-04,home,Cal St. Monterey Bay,D2,0.7,Sonoma St.,D2,1.4
2015-10-03,home,Cal St. San B'dino,D2,0.9,Cal Poly Pomona,D2,1.4
2015-10-03,home,Calvin,D3,1.6,Hope,D3,1.3
2015-10-03,home,Campbell,D1,2.2,Radford,D1,0.7
2015-10-07,home,Campbell,D1,1.7,Gardner-Webb,D1,0.7
2015-10-03,home,Canisius,D1,0.9,Fairfield,D1,1.6
2015-10-07,home,Capital,D3,4.0,Muskingum,D3,0.8
2015-10-03,home,Carleton,D3,0.9,Gust. Adolphus,D3,1.0
2015-10-03,home,Carthage,D3,1.3,North Central (IL),D3,1.7
