date,site,home,div,score,away,div,score,win,lose,wr,lr,dr,wo1,lo1,wo2,lo2,wso,lso
2015-11-11,home,Elms,D3,1.39,Curry,D3,0.90,0.632,0.368,0.484,0.243,0.273,0.037,0.024,0.029,0.019,0.082,0.082
2015-11-11,home,Endicott,D3,2.09,Emerson,D3,0.75,0.802,0.198,0.684,0.123,0.193,0.038,0.014,0.028,0.010,0.051,0.051
2015-11-11,home,FDU-Florham,D3,2.05,Geneva,D3,1.17,0.697,0.303,0.576,0.213,0.211,0.040,0.023,0.028,0.016,0.052,0.052
2015-11-11,home,Grove City,D3,2.38,Marywood,D3,0.48,0.892,0.108,0.798,0.058,0.144,0.033,0.007,0.024,0.005,0.038,0.038
2015-11-11,home,Kean,D3,2.61,Bard,D3,0.67,0.878,0.122,0.788,0.073,0.139,0.034,0.009,0.023,0.006,0.033,0.033
2015-11-11,home,NYU,D3,3.70,Lehman,D3,0.25,0.981,0.019,0.950,0.008,0.042,0.014,0.001,0.009,0.001,0.009,0.009
2015-11-11,home,Rutgers-Newark,D3,1.89,Ramapo,D3,1.59,0.565,0.435,0.449,0.329,0.221,0.038,0.032,0.026,0.022,0.051,0.051
2015-11-11,home,Stockton,D3,0.91,Mt. St. Mary (NY),D3,0.42,0.665,0.335,0.459,0.164,0.377,0.035,0.016,0.030,0.014,0.140,0.140
2015-11-11,home,U New England,D3,2.38,Framingham St.,D3,0.62,0.865,0.135,0.765,0.079,0.156,0.035,0.009,0.025,0.007,0.040,0.040
2015-11-11,home,Wentworth,D3,1.76,Smith,D3,0.46,0.827,0.173,0.695,0.090,0.215,0.037,0.010,0.029,0.008,0.066,0.066
