year,round_id,seed,division_id,school_id,team_name,bracket,p
2016,1,1,1,234,Florida State,"{1,1,1,1,1,1,1}",1.0
2016,1,,1,646,South Alabama,"{4,2,1,1,1,1,1}",1.0
2016,1,,1,700,Texas Tech,"{5,3,2,1,1,1,1}",1.0
2016,1,4,1,37,Auburn,"{8,4,2,1,1,1,1}",1.0
2016,1,3,1,457,North Carolina,"{9,5,3,2,1,1,1}",1.0
2016,1,,1,697,Texas A&M,"{11,6,3,2,1,1,1}",1.0
2016,1,,1,433,Mississippi,"{13,7,4,2,1,1,1}",1.0
2016,1,2,1,147,Clemson,"{16,8,4,2,1,1,1}",1.0
2016,1,2,1,235,Florida,"{17,9,5,3,2,1,1}",1.0
2016,1,,1,786,William & Mary,"{19,10,5,3,2,1,1}",1.0
2016,1,,1,28755,FGCU,"{22,11,6,3,2,1,1}",1.0
2016,1,3,1,193,Duke,"{24,12,6,3,2,1,1}",1.0
2016,1,4,1,631,Santa Clara,"{25,13,7,4,2,1,1}",1.0
2016,1,,1,29,Arizona,"{28,14,7,4,2,1,1}",1.0
2016,1,,1,77,BYU,"{29,15,8,4,2,1,1}",1.0
2016,1,1,1,674,Stanford,"{32,16,8,4,2,1,1}",1.0
2016,1,1,1,539,Penn St.,"{33,17,9,5,3,2,1}",1.0
2016,1,,1,68,Boston U.,"{35,18,9,5,3,2,1}",1.0
2016,1,,1,518,Ohio State,"{37,19,10,5,3,2,1}",1.0
2016,1,4,1,742,Virginia Tech,"{40,20,10,5,3,2,1}",1.0
2016,1,,1,370,Loyola Marymount,"{42,21,11,6,3,2,1}",1.0
2016,1,,1,428,Minnesota,"{44,22,11,6,3,2,1}",1.0
2016,1,,1,509,Northwestern,"{46,23,12,6,3,2,1}",1.0
2016,1,2,1,768,West Virginia,"{48,24,12,6,3,2,1}",1.0
2016,1,2,1,587,Rutgers,"{49,25,13,7,4,2,1}",1.0
2016,1,,1,283,Hofstra,"{51,26,13,7,4,2,1}",1.0
2016,1,,1,164,Connecticut,"{53,27,14,7,4,2,1}",1.0
2016,1,,1,639,Siena,"{54,27,14,7,4,2,1}",1.0
2016,1,3,1,513,Notre Dame,"{56,28,14,7,4,2,1}",1.0
2016,1,4,1,657,USC,"{57,29,15,8,4,2,1}",1.0
2016,1,,1,554,Princeton,"{60,30,15,8,4,2,1}",1.0
2016,1,,1,460,UNCW,"{62,31,16,8,4,2,1}",1.0
2016,1,1,1,746,Virginia,"{64,32,16,8,4,2,1}",1.0
