BEGIN
 rd |       name       |   p   
----+------------------+-------
  2 | BYU              | 0.866
  2 | Connecticut      | 0.857
  2 | Florida          | 0.825
  2 | Clemson          | 0.810
  2 | Auburn           | 0.796
  2 | California       | 0.767
  2 | Virginia Tech    | 0.711
  2 | William & Mary   | 0.656
  2 | Ohio State       | 0.641
  2 | Santa Clara      | 0.594
  2 | St. John's (NY)  | 0.579
  2 | Hofstra          | 0.562
  2 | Boston College   | 0.551
  2 | Washington St.   | 0.549
  2 | FGCU             | 0.504
  2 | LSU              | 0.504
  2 | South Alabama    | 0.496
  2 | South Florida    | 0.496
  2 | Northwestern     | 0.451
  2 | Princeton        | 0.449
  2 | Georgetown       | 0.438
  2 | Boston U.        | 0.421
  2 | Long Beach St.   | 0.406
  2 | Butler           | 0.359
  2 | UCF              | 0.344
  2 | Cincinnati       | 0.289
  2 | Loyola Marymount | 0.233
  2 | Southeastern La. | 0.204
  2 | Furman           | 0.190
  2 | Western Mich.    | 0.175
  2 | Siena            | 0.143
  2 | Utah Valley      | 0.134
  3 | Virginia         | 0.931
  3 | Florida State    | 0.868
  3 | West Virginia    | 0.828
  3 | Penn St.         | 0.826
  3 | Rutgers          | 0.791
  3 | Notre Dame       | 0.752
  3 | USC              | 0.710
  3 | North Carolina   | 0.672
  3 | Duke             | 0.616
  3 | Stanford         | 0.611
  3 | Texas Tech       | 0.600
  3 | Florida          | 0.600
  3 | Clemson          | 0.540
  3 | Virginia Tech    | 0.491
  3 | California       | 0.491
  3 | Arizona          | 0.439
  3 | Minnesota        | 0.411
  3 | Mississippi      | 0.403
  3 | BYU              | 0.378
  3 | Auburn           | 0.353
  3 | Santa Clara      | 0.347
  3 | Texas A&M        | 0.328
  3 | Ohio State       | 0.256
  3 | William & Mary   | 0.254
  3 | Connecticut      | 0.239
  3 | Long Beach St.   | 0.214
  3 | FGCU             | 0.193
  3 | South Florida    | 0.192
  3 | Boston College   | 0.169
  3 | Cincinnati       | 0.157
  3 | Hofstra          | 0.128
  3 | Princeton        | 0.121
  3 | St. John's (NY)  | 0.120
  3 | Loyola Marymount | 0.098
  3 | Butler           | 0.096
  3 | Washington St.   | 0.089
  3 | Northwestern     | 0.083
  3 | Georgetown       | 0.081
  3 | UCF              | 0.080
  3 | UNCW             | 0.069
  3 | LSU              | 0.068
  3 | Western Mich.    | 0.066
  3 | South Alabama    | 0.064
  3 | Furman           | 0.057
  3 | Boston U.        | 0.053
  3 | Southeastern La. | 0.048
  3 | Utah Valley      | 0.011
  3 | Siena            | 0.009
  4 | Virginia         | 0.788
  4 | Florida State    | 0.707
  4 | Penn St.         | 0.679
  4 | West Virginia    | 0.642
  4 | North Carolina   | 0.468
  4 | Rutgers          | 0.460
