year,team_id,team_name,wins,losses,ties,total_games
2016,26172,A&M-Corpus Chris,5,9,3,17
2016,2,Abilene Christian,7,7,5,19
2016,30123,Academy of Art,4,10,4,18
2016,929,Adams St.,6,7,5,18
2016,3,Adelphi,12,2,4,18
2016,4,Adrian,3,8,10,21
2016,11324,Agnes Scott,7,9,1,17
2016,721,Air Force,4,13,2,19
2016,5,Akron,6,11,2,19
2016,10,Ala.-Huntsville,6,9,2,17
2016,8,Alabama,5,11,3,19
2016,6,Alabama A&M,3,11,1,15
2016,7,Alabama St.,6,10,2,18
2016,14,Albany (NY),9,8,1,18
2016,2798,Albertus Magnus,8,8,3,19
2016,15,Albion,8,8,3,19
2016,16,Albright,8,7,3,18
2016,17,Alcorn,0,13,1,14
2016,934,Alderson Broaddus,7,10,1,18
2016,18,Alfred,1,13,4,18
2016,30170,Alfred St.,7,7,1,15
2016,19,Allegheny,4,10,4,18
2016,21,Alma,7,7,4,18
2016,938,Alvernia,4,12,3,19
2016,28746,Alverno,2,14,2,18
2016,23,American,4,10,4,18
2016,22,American Int'l,11,5,2,18
2016,24,Amherst,9,2,3,14
2016,939,Anderson (IN),7,7,2,16
2016,13028,Anderson (SC),13,3,1,17
2016,25,Angelo St.,13,1,3,17
2016,26,Anna Maria,3,12,2,17
2016,27,Appalachian St.,9,6,4,19
2016,966,Arcadia,11,5,2,18
2016,29,Arizona,11,4,4,19
2016,28,Arizona St.,7,7,4,18
2016,2678,Ark.-Pine Bluff,5,9,2,16
2016,31,Arkansas,5,11,2,18
2016,30,Arkansas St.,3,14,1,18
2016,33,Armstrong,10,3,4,17
2016,725,Army West Point,4,11,3,18
2016,35,Ashland,12,3,1,16
2016,36,Assumption,9,6,2,17
2016,37,Auburn,13,4,1,18
2016,38,Augsburg,11,5,2,18
2016,40,Augustana (IL),13,3,3,19
2016,41,Augustana (SD),13,2,3,18
2016,42,Aurora,10,7,1,18
2016,953,Austin,2,12,3,17
2016,43,Austin Peay,8,9,1,18
2016,44,Averett,2,11,3,16
2016,30146,Azusa Pacific,11,2,4,17
2016,45,Babson,12,3,4,19
2016,46,Baldwin Wallace,9,4,7,20
2016,47,Ball St.,13,3,3,19
2016,962,Bard,7,8,2,17
2016,49,Barry,11,2,2,15
2016,15646,Barton,6,5,6,17
2016,50,Bates,6,5,4,15
2016,26520,Bay Path,5,9,3,17
2016,51,Baylor,9,5,4,18
2016,26107,Becker,12,4,2,18
2016,52,Bellarmine,13,1,3,17
2016,14927,Belmont,4,11,3,18
2016,2683,Belmont Abbey,12,2,3,17
2016,53,Beloit,7,7,2,16
2016,54,Bemidji St.,10,5,3,18
2016,296,Benedictine (IL),9,7,2,18
2016,56,Bentley,4,9,4,17
2016,973,Berry,9,5,2,16
2016,59,Bethany (WV),2,12,3,17
2016,30038,Bethany Lutheran,8,8,4,20
2016,60,Bethel (MN),3,13,2,18
2016,62,Binghamton,3,12,2,17
2016,28593,Birmingham-So.,8,7,0,15
2016,64,Blackburn,5,10,2,17
2016,984,Bloomfield,3,9,3,15
2016,65,Bloomsburg,9,6,3,18
2016,987,Bluffton,7,9,2,18
2016,66,Boise St.,7,9,4,20
2016,67,Boston College,11,6,2,19
2016,68,Boston U.,9,5,4,18
2016,69,Bowdoin,9,4,2,15
2016,71,Bowling Green,6,11,2,19
2016,73,Brandeis,13,2,4,19
2016,30094,Brevard,4,9,3,16
2016,74,Bridgeport,15,1,2,18
2016,75,Bridgewater (VA),9,5,3,17
2016,76,Bridgewater St.,9,6,2,17
2016,78,Brockport,7,5,4,16
2016,79,Brooklyn,4,10,3,17
2016,80,Brown,5,7,4,16
2016,81,Bryant,4,10,4,18
2016,82,Bryn Mawr,3,13,1,17
2016,83,Bucknell,9,5,4,18
2016,84,Buena Vista,3,12,1,16
2016,86,Buffalo,10,6,3,19
2016,85,Buffalo St.,13,3,2,18
2016,87,Butler,12,6,2,20
2016,77,BYU,12,2,5,19
2016,2685,BYU-Hawaii,5,6,7,18
2016,88,Cabrini,7,5,5,17
2016,1305,Cairn,7,9,1,17
2016,105,Cal Lutheran,6,8,4,18
2016,90,Cal Poly,6,7,6,19
2016,91,Cal Poly Pomona,8,5,4,17
2016,92,Cal St. Dom. Hills,3,12,3,18
2016,98,Cal St. East Bay,5,11,2,18
2016,97,Cal St. Fullerton,13,2,3,18
2016,100,Cal St. L.A.,6,6,5,17
2016,30055,Cal St. Monterey Bay,6,10,2,18
2016,93,Cal St. San B'dino,4,9,5,18
2016,103,Cal St. Stanislaus,9,4,5,18
2016,995,Caldwell,9,6,2,17
2016,107,California,12,4,5,21
2016,106,California (PA),8,5,5,18
2016,30135,California Baptist,5,7,6,18
2016,114,Calvin,14,2,4,20
2016,115,Campbell,12,6,1,19
2016,116,Canisius,5,11,3,19
2016,117,Capital,11,4,2,17
2016,118,Carleton,7,7,3,17
2016,119,Carnegie Mellon,13,0,4,17
2016,120,Carroll (WI),12,4,2,18
2016,1000,Carson-Newman,13,2,2,17
2016,121,Carthage,5,11,2,18
2016,122,CWRU,7,4,7,18
2016,123,Castleton,11,7,4,22
2016,1001,Catawba,3,12,2,17
2016,124,Catholic,13,2,2,17
2016,23624,Cazenovia,6,8,3,17
2016,480,CCNY,2,12,3,17
2016,14795,Cedar Crest,4,10,4,18
2016,30124,Cedarville,10,4,4,18
2016,125,Centenary (LA),2,14,1,17
2016,12884,Centenary (NJ),7,8,3,18
2016,126,Central (IA),9,4,3,16
2016,1004,Central Ark.,6,11,2,19
2016,127,Central Conn. St.,7,4,6,17
2016,129,Central Mich.,6,9,3,18
2016,130,Central Mo.,14,2,2,18
2016,1009,Central Okla.,9,5,4,18
2016,1010,Central Wash.,6,8,3,17
2016,132,Centre,14,1,1,16
2016,133,Chaminade,1,12,4,17
2016,134,Chapman,5,11,3,19
2016,1013,Charleston (WV),9,3,6,18
2016,48,Charleston So.,7,7,3,17
2016,458,Charlotte,6,11,2,19
2016,10972,Chatham,8,6,2,16
2016,693,Chattanooga,4,12,3,19
2016,21323,Chestnut Hill,4,8,4,16
2016,137,Chicago,11,4,3,18
2016,136,Chicago St.,0,18,1,19
2016,95,Chico St.,10,4,4,18
2016,8875,Chowan,1,10,3,14
2016,139,Chris. Newport,13,4,2,19
2016,1015,Christian Bros.,9,6,2,17
2016,140,Cincinnati,11,5,4,20
2016,141,Citadel,1,18,1,20
2016,142,Claremont-M-S,10,5,5,20
2016,143,Clarion,5,11,2,18
2016,145,Clark (MA),2,12,4,18
2016,146,Clarkson,8,6,3,17
2016,20576,Clayton St.,9,7,1,17
2016,147,Clemson,12,3,2,17
2016,148,Cleveland St.,8,8,2,18
2016,722,Coast Guard,6,9,3,18
2016,149,Coastal Caro.,10,6,2,18
2016,30083,Cobleskill St.,3,12,2,17
2016,150,Coe,14,1,3,18
2016,1023,Coker,4,10,1,15
2016,1014,Col. of Charleston,8,9,1,18
2016,151,Colby,4,9,2,15
2016,152,Colby-Sawyer,11,3,2,16
2016,153,Colgate,5,9,3,17
2016,11403,Colo. Christian,0,14,4,18
2016,157,Colorado,7,8,5,20
2016,154,Colorado Col.,7,11,2,20
2016,11416,Colorado Mesa,4,9,5,18
2016,155,Colorado Mines,11,4,3,18
2016,156,Colorado St.,3,14,3,20
2016,2720,Colorado St.-Pueblo,7,7,4,18
2016,158,Columbia,6,7,3,16
2016,159,Columbus St.,13,2,3,18
2016,1028,Concord,5,7,6,18
2016,162,Concordia (NY),1,12,1,14
2016,24400,Concordia (TX),4,9,3,16
2016,160,Concordia Chicago,7,10,1,18
2016,1036,Concordia Wisconsin,13,2,3,18
2016,161,Concordia-M'head,10,6,2,18
2016,9081,Concordia-St. Paul,7,8,3,18
2016,163,Connecticut Col.,3,8,4,15
2016,8935,Converse,10,6,2,18
2016,167,Cornell,9,2,6,17
2016,166,Cornell College,2,14,1,17
2016,30111,Covenant,10,4,1,15
2016,169,Creighton,10,9,1,20
2016,30035,Crown (MN),4,12,3,19
2016,94,CSU Bakersfield,5,11,3,19
2016,101,CSUN,10,7,3,20
2016,170,Curry,12,5,2,19
2016,1059,D'Youville,7,6,2,15
2016,30174,Daemen,6,9,3,18
2016,1044,Dallas,4,12,3,19
2016,1045,Dallas Baptist,10,3,4,17
2016,2691,Daniel Webster,1,10,4,15
2016,172,Dartmouth,7,4,5,16
2016,173,Davidson,6,11,2,19
2016,174,Davis & Elkins,13,3,1,17
2016,175,Dayton,8,9,2,19
2016,1050,Defiance,2,14,2,18
2016,180,Delaware,8,8,3,19
2016,178,Delaware St.,6,9,3,18
2016,179,Delaware Valley,3,11,5,19
2016,181,Delta St.,3,12,2,17
2016,182,Denison,13,2,2,17
2016,183,Denver,3,11,3,17
2016,176,DePaul,11,3,5,19
2016,177,DePauw,9,6,2,17
2016,20,DeSales,12,4,1,17
2016,184,Detroit,7,8,3,18
2016,185,Dickinson,7,7,6,20
2016,30095,Dixie St.,8,6,3,17
2016,30118,Dominican (CA),5,9,4,18
2016,1332,Dominican (IL),11,5,1,17
2016,8956,Dominican (NY),2,12,0,14
2016,2692,Dowling,6,7,4,17
2016,189,Drake,7,8,2,17
2016,190,Drew,7,9,3,19
2016,191,Drexel,9,9,0,18
2016,1057,Drury,8,4,5,17
2016,192,Dubuque,10,5,3,18
2016,193,Duke,9,5,5,19
2016,194,Duquesne,9,8,2,19
2016,195,Earlham,1,10,4,15
2016,196,East Carolina,8,9,2,19
2016,8965,East Central,4,11,2,17
2016,197,East Stroudsburg,8,6,2,16
2016,198,ETSU,9,8,2,19
2016,1062,East Tex. Baptist,4,11,2,17
2016,203,East. Mennonite,1,13,4,18
