year,team_id,team_name,wins,losses,ties,total_games
2009,2,Abilene Christian,9,8,2,19
2009,929,Adams St.,1,19,0,20
2009,3,Adelphi,14,4,1,19
2009,4,Adrian,10,6,3,19
2009,11324,Agnes Scott,7,12,1,20
2009,721,Air Force,3,14,0,17
2009,5,Akron,7,9,2,18
2009,10,Ala.-Huntsville,5,9,1,15
2009,8,Alabama,9,9,2,20
2009,6,Alabama A&M,7,10,2,19
2009,7,Alabama St.,1,14,0,15
2009,14,Albany (NY),3,17,0,20
2009,2798,Albertus Magnus,6,9,3,18
2009,15,Albion,8,8,1,17
2009,16,Albright,7,10,0,17
2009,17,Alcorn,0,15,1,16
2009,934,Alderson Broaddus,3,13,0,16
2009,18,Alfred,4,11,2,17
2009,19,Allegheny,8,8,3,19
2009,21,Alma,12,7,1,20
2009,938,Alvernia,6,13,0,19
2009,28746,Alverno,3,16,0,19
2009,23,American,5,10,4,19
2009,22,American Int'l,9,9,1,19
2009,24,Amherst,14,3,3,20
2009,939,Anderson (IN),6,14,0,20
2009,13028,Anderson (SC),4,12,1,17
2009,25,Angelo St.,10,7,3,20
2009,26,Anna Maria,3,12,4,19
2009,27,Appalachian St.,7,10,2,19
2009,966,Arcadia,9,8,2,19
2009,29,Arizona,9,11,0,20
2009,28,Arizona St.,8,8,4,20
2009,2678,Ark.-Pine Bluff,7,9,1,17
2009,31,Arkansas,11,8,0,19
2009,30,Arkansas St.,4,12,2,18
2009,33,Armstrong,11,6,3,20
2009,725,Army West Point,12,6,3,21
2009,35,Ashland,7,13,0,20
2009,36,Assumption,7,9,2,18
2009,37,Auburn,12,9,2,23
2009,38,Augsburg,10,4,4,18
2009,40,Augustana (IL),15,4,0,19
2009,41,Augustana (SD),13,6,1,20
2009,42,Aurora,16,6,0,22
2009,953,Austin,11,7,1,19
2009,43,Austin Peay,4,12,3,19
2009,44,Averett,9,8,1,18
2009,45,Babson,10,4,6,20
2009,46,Baldwin Wallace,7,9,3,19
2009,47,Ball St.,9,10,1,20
2009,962,Bard,10,9,0,19
2009,49,Barry,9,8,1,18
2009,15646,Barton,8,7,3,18
2009,50,Bates,6,8,0,14
2009,26520,Bay Path,3,11,2,16
2009,51,Baylor,5,11,3,19
2009,26107,Becker,7,10,1,18
2009,52,Bellarmine,11,6,2,19
2009,14927,Belmont,13,7,3,23
2009,2683,Belmont Abbey,17,3,3,23
2009,53,Beloit,8,9,0,17
2009,54,Bemidji St.,12,7,1,20
2009,296,Benedictine (IL),5,11,0,16
2009,56,Bentley,4,14,1,19
2009,59,Bethany (WV),7,8,4,19
2009,30038,Bethany Lutheran,5,11,4,20
2009,60,Bethel (MN),9,7,2,18
2009,500500,Bethel (TN),0,1,0,1
2009,62,Binghamton,8,9,1,18
2009,28593,Birmingham-So.,11,6,2,19
2009,64,Blackburn,1,12,1,14
2009,984,Bloomfield,2,15,1,18
2009,65,Bloomsburg,13,6,1,20
2009,987,Bluffton,6,10,1,17
2009,66,Boise St.,11,8,2,21
2009,67,Boston College,15,6,2,23
2009,68,Boston U.,15,6,1,22
